Question,Answer
"Though guiltless, this French queen fell even more out of favor after the 1785 Affair of the Diamond Necklace",Marie Antoinette
"Andrew Ridgeley of this ""Careless Whisper"" '80 duo makes surfing goods & lives with a member of Bananarama",Wham!
"This ""chambered"" mollusk begins life with about 4 chambers & develops around 30 by adulthood",a nautilus
This Irish form of Katherine is currently one of the 100 most popular names for girls,Katelyn
"""Shogun: A Novel of ____""",Japan
Someone who's stuck indoors,a shut-in
A 16.37-carat gem is the largest ever discovered by a visitor to this state's Crater of Diamonds State Park,Arkansas
"Pam Dawber, the ""Mindy"" of ""Mork &..."" has been married to this ""NCIS"" lead actor since 1987",Mark Harmon
"Mr. Frome might know it's from the Hebrew for ""solid"" or ""firm""",Ethan
"JFK's thesis, the bestseller: ""Why ____ Slept""",England
"9 innings, 6 hits, no runs",a shutout
"Under intense heat & in the presence of oxygen, a diamond will burn &  form this gas",carbon dioxide
"He led ""The News"" to 3 No. 1 hits in the '80s & in 2010 played Johnny Revere on ""Hot in Cleveland""",Huey Lewis
"Leon means ""lion"" & this name means ""lion bold""",Leonardo
"""Karma's Embrace: A Novel of ____"" & ""A Passage to ____""",India
A test where you're allowed to use notes,an open book test
"Acquired by the House of Winston the day before Halloween, a 5.54-carat vivid orange diamond was dubbed this",the Pumpkin Diamond
"Philip Michael Thomas--Tubbs on this '80s cop show--voiced Lance Vance on ""Grand Theft Auto:  Vice City Stories""",Miami Vice
"It's from the Old Norse for ""ruler"", whether he has red hair or not",Eric
"Taken from a question Hitler asked:  ""Is ____ Burning?""",Paris
Public domain land in the 1800s where the buffalo & cattle roamed before the homesteaders fenced them in,open range
"(Jimmy of the Clue Crew shows a diamond diagram on the monitor.)  In a cut diamond, the band around the widest part is the girdle, the upper part is the crown, & the bottom area that reflects light is called this, like an exhibition building from the French for ""butterfly""",pavillion
"""Only In My Dreams"" would this '80s teen queen of music play Emma in 2009's ""Mega Shark vs. Giant Octopus""",Deborah Gibson
"This senator tweeted: ""Payson, AZ now holds the record for my longest town hall meeting - 2:32 mins!""",(John) McCain
"Good luck when you ask the singers ""What I Did For Love""; they never tell the truth in this musical",A Chorus Lie
"Carson, California is home base for ""Spirit of America"", one of this company's blimps",Goodyear
"Pope Benedict XVI is the first pope of this nationality in nearly 1,000 years",German
"Laura Bush, Michael Dell, Moon walker Alan Bean",(University of) Texas
"People often remark, ""I hate to say"" this phrase meaning ""you were warned"" (but they still say it)",I told you so
He tweets under his own name & @GOPLeader,John Boehner
"NASA astronaut Mr. Grissom gets to gamble, sing & dance as Nathan Detroit in this updated version",Gus and Dolls
"Carson, Wash. is just above the Columbia River, less than a mile from a highway named for these explorers",Lewis & Clark
His 34-day reign in 1978 was one of the shortest in papal history,Pope John Paul I
"Walter Reed, Edgar Allan Poe, George F. Allen (who later was governor & a U.S. senator)",Virginia
This 1972 feminist anthem was a No. 1 hit for Helen Reddy,I Am Woman
"This House speaker was ""Very joyful court ruled against Prop. 8, it is a stain upon the CA Constitution""",(Nancy) Pelosi
"""Ol' Man River"" sung by pigs!  Count me in!",Sowboat
Kit Carson Peak is one of this mountainous state's many 14ers,Colorado
"During the reign of Alexander III, it was established that the pope would be elected exclusively by this body",the College of Cardinals
"Bob Dylan, man of the heart Dr. Christiaan Barnard, Alan Page (for law school)",The University of Minnesota
"First title ""Poem of the Body"", this ""charged"" Walt Whitman poem got its present 5-word title in 1857","""I Sing the Body Electric"""
"This state's Sen. Claire McCaskill talked sports with ""Congrats to Chiefs for surprising Denver today""",Missouri
Embrace the atoms as Simba & company lose & gain electrons en masse in this production,The Ion King
"There have been 12 popes with this devout name, the first during the second century, the last from 1939 to 1958",Pius
"James Carville, Donna Brazile, Pete Maravich (but only one averaged 44.2 points per game there)",Louisiana State University (LSU)
Will Rogers is famous for this sentence of goodwill about all those he encountered,I never met a man I didn't like
"Referring to his wife, this Ohio rep urged, ""Please vote for Elizabeth in Week 2 of Cleveland Dancing show""",Dennis Kucinich
"Drop an ""L"" from a Rodgers & Hammerstein roundabout & you get to do this, drunkenly revel",Carouse
"Clement VII, born into this powerful family, was raised by his uncle Lorenzo the Magnificent",the de' Medicis
"Phil Knight (of Nike fame), Bill Bowerman (of Nike fame), Steve Prefontaine (of Nike fame)",Oregon
"He said, ""to leave this stream uncrossed will breed manifold distress for me; to cross it, for all mankind""",Julius Caesar
"Although these smallest birds are known for drinking nectar, they eat insects as well",hummingbirds
"Co-starring Phylicia Rashad, his new series is based on the British series ""One Foot in the Grave""",Bill Cosby
"No ""doubt"", John 20:24 notes this disciple was absent when Jesus appeared to the others after his resurrection",Thomas
Any birdbrain knows it's the highest rank a Boy Scout can attain,Eagle Scout
Nickname given the WWII backyard vegetable patches,"""Victory Gardens"""
"""Joy of Cooking"" says the most popular garnish for clear soups is this citrus fruit",lemon
"This cotton pest 1st reached the U.S. at Brownsville, TX around 1892",boll weevil
"After her appearance on ""Friends"", NBC decided to star her in a sitcom, and voila! - she's ""Suddenly Susan""",Brooke Shields
"According to Mark 12:31, the 2nd greatest commandment is ""Thou shalt"" do this ""as thyself""",Love thy Neighbor
"From the 12th to 19th centuries, a person with this tile governed Japan; the emperor's rule was nominal",Shogun
"In May of 1780, Gen. Benjamin Lincoln was forced to surrender this South Carolina port to the British",Charleston
"This ""heavenly"" herb, whose name reminds us of Ms. Huston, is candied before it decorates desserts",Angelica
"White, bristlecone & pinon are groups of the soft kind of this tree",pine
"Based on the 1995 film, this series stars Annie Potts as an inner-city school teacher",Dangerous Minds
"Jesus said ""the wicked will be cast into a furnace of fire, where there shall be wailing &"" this",gnashing of the teeth
"Title for the president of a yacht club, or the rank just below a navy's rear admiral",commodore
More than 200 U.S. Marines were killed in 1983 by a truck bomb at their barracks in this Mideast capital,Beirut
Pointes d' asperge is the French name for these tips that make a lovely garnish,asparagus
"Bell peppers, tobacco, & henbane are members of this sometimes deadly plant family",nightshade
"Husband-and-wife pair inked to play divorcees in ""Ink""",Ted Danson & Mary Steenburgen
"In a letter, he wrote, ""I am ready to preach the Gospel to you that are at Rome also""",Paul
"2 of the titles in the Random House Unabridged Dictionary that begin with the letters ""kh""","Khan, Khalif & Khedive"
"He related the story of Pocahontas in his ""General History of Virginia"" in 1624",John Smith
"When meat is served ""a la chatelaine"", it's garnished with hearts of this thistle-like vegetable",artichoke
This Rocky Mountain flower is the state flower of Colorado,Columbine
Aliens invade Earth in this NBC series starring Eric Close & Megan Ward,Dark Skies
"Jesus said while on the mount, ""Seek and ye shall find""; do this ""and it shall be opened unto you""",knock
A count in Germany; Zeppelin was one,Graf
"The Battle of Palo Alto, fought May 8, 1846, was the first battle of this war",Mexican-American War
Hors d' ouvres may be garnished with thin slices of these expensive fungi that grow underground,truffles
Aeneas was the son of a Trojan prince & this goddess of love,Venus/Aphrodite
"""After Many A Summer Dies the Swan"" is a 1939 novel by this author of ""Brave New World""",Aldous Huxley
In 1950 Haifa & this Israeli city were incorporated as a single municipality,Tel Aviv
"""The Holy Family"" is the only surviving panel painting by this ""Pieta"" artist",Michelangelo
"Mike Nichols directed the original Broadway production of this playwright's ""Plaza Suite""",Neil Simon
She married John Lloyd in 1979 & went by his name when she won Wimbledon in 1981,Chris Evert
"Since Helen was under a spell, this Trojan persuaded her to elope with him",Paris
"""Cynicism is an unpleasnt way of saying the truth"", wrote this playwright in ""The Little Foxes""",Lillian Hellman
A large international airport at Tullamarine serves this second-largest Australian city,Melbourne
"Hugo van der Goes painted ""The Adoration of the Shepherds"" & ""The Adoration of "" this trio",the Magi
"An updated 1996 version of this playwright's ""Tartuffe"" starred John Glover as a TV evangelist",Moliere
He defeated George Bush for a Senate seat long before becoming Secretary of the Treasury in 1993,Lloyd Bentsen
Shakespeare based this play on the legend of a pair of Trojan lovers,Troilus & Cressida
"A collector of his novels would own copies of ""The French Lieutenant's Woman"" & ""The Collector""",John Fowles
The Church of the Holy Family dominates the skyline of this port in northeastern Spain,Barcelona
In 1810 Jacques-Louis David painted this emperor distributing eagle-topped standards,Napoleon
"Originally, critics panned his play ""The Birthday Party"", and its London run lasted only a week",Harold Pinter
"This silent screen comedian came out of retirement to act in a 1947 film ""The Sin of Harold Diddlebock""",Harold Lloyd
"Ancient Greek dramatist who wrote the anti-war play ""The Trojan Women""",Euripides
"She was only 19 when she published her 1st novel ""The Outsiders"" in 1967",S.E. Hinton
"Pernice, a suburb of this 2nd-largest Dutch city, has the largest oil refinery in northwestern Europe",Rotterdam
"17th C. Dutch painter Samuel Von Hoogstraten was profiecient in this ""fool the eye"" style",tromp l'oile
"There are 5 basic types of plays in this form of drama: the third is the katsuramono, or ""wig play""",Noh
"After succeeding Herbert Asquith as prime minister, he reduced the number of policy-making cabinet members to 5",David Lloyd George
"Considered the greatest Trojan warrior, he killed Achilles' best friend Patrochlus, which angered Achilles",Hector
"He set his novel ""The Tin Drum"" in & around Danzig, his hometown",Gunter Grass
"In 1787, British abolitionists founded this capital of Sierra Leone as a home for liberated slaves",Freetown
"After a nervous breakdown in 1908, he became more positive & painted lovely murals for the University of Oslo",Edvard Munch
"The Irish Literary Theater's 1st production was this poet's 1892 play ""The Countess Kathleen""",William Butler Yeats
"This abolitionist, founder of ""The Liberator"", was once jailed for libeling a slave trader",William Lloyd Garrison
He was the first Republican vice president,Hannibal Hamlin
"Oui, oui!  The University of Heidelberg was modeled on the University of this city",Paris
"Trad, as in trad jazz, is short for this",traditional jazz
Bosnia & _____,Herzegovina
"The Little Dipper is in this ""Minor"" constellation",Ursa
"Though their roles overlap, a psychiatrist, unlike a psychologist, is required to have this degree also",a medical school degree
Saddleless horse riding,bareback
"It traces its roots to a group of scholars in 1209, so this British university is celebrating its 800th anniv. in 2009",Cambridge
"Kevin Rudolf's 2009 tour is called ""Let It"" this",Rock
_____ & Tobago,Trinidad
Columba represents this bird dear to Noah,the dove
The study of how individual differences are inherited or environmentally caused is known as behavior these,genetics
(Jimmy of the Clue Crew holds a microphone to a loudspeaker.)  An audio signal returned to its source as an input & retransmitted gives you this loud sound,feedback
"Founded in 1780 as the first college west of the Alleghenies, this university is nicknamed Transy",Transylvania University
"The first ""B"" in B.B. King's name stands for this musical genre",blues
_____ & Nevis,St. Kitts
A satellite radio service is named for this star,Sirius
Sigmund Freud coined this term for both a theory of personality & a method of therapy,psychoanalysis
"Originally, this term referred to people giving actually helpful instructions to a chauffeur",backseat driving
"At schools like Bennington, sign up for this kind of 11-letter ""study"", meaning ""not controlled by others""",independent
"Electronic style that can precede -logical, -babble or -crat",techno
Saint Vincent & _____,the Grenadines
This water snake is the largest of all 88 constellations,the Hydra
Freud developed this technique of encouraging patients to express random thoughts,free association
Denizen of the deep delightfully drifting here,the humpback whale
"Riding to hounds is a traditional activity at this ""sweet"" Virginia school, SBC for short",Sweet Briar College
"This subgenre of metal can also mean ""to beat savagely""",thrash
Antigua & _____,Barbuda
"When Cassiopeia is visible, it's not a ""strain"" to see this daughter of hers chained to a rock; she'll be visible too",Andromeda
"This school of psychology with a German name emphasizes the study of whole, not partial, experiences",Gestalt
Secret diplomatic negotiations are said to go through this,the back door (or back room or back channel)
"In 1917 L. Frank Baum wrote about ""The Lost Princess of"" this place",Oz
It would be cool to own the Spartan shield King Leonidas (Gerard Butler) used in this 2006 film,300
In 1901 C.A. Yont & W.B. Felker became the first to drive a car to the top of this Colorado peak,Pike's Peak
"Hey there, Delilah, you keep googling ""depilatory"", something that does this; should I be worried?",takes out hair
Radically changed China (1949-76),Mao Tse-tung
"A nickname for a tall guy, or a type of limo that's been extended for greater capacity",stretch
"When he first saw Becky Thatcher, ""a certain Amy Lawrence vanished out of his heart and left not even a memory""",Tom Sawyer
"Just looking at the hockey mask this revenge-seeker wears in ""Friday the 13th"" gives me the creeps",Jason Voorhees
"In March 1944, shortly after the Allies reached Naples, this volcano erupted, damaging 88 B-25 planes",Vesuvius
"...Samson has 1,000 of these to slay & you offer him a wiffle ball bat; he'll stick with the jawbone",Philistines
A less-than-pleasant Russian (1547-84),Ivan the Terrible
This number is found in the title of a Shakespeare comedy about Viola & Duke Orsino,Twelfth
"""I never liked long walks"", says the heroine of this Charlotte Bronte novel",Jane Eyre
"How 'bout a helmet made of omnium steel, based on Tony Stark's original plans, from this 2008 film",Iron Man
"Chile has a central valley, bordered by the Western Cordillera of this range",the Andes
"...back off!  This ""fish""-y hairdo that's naturally short on the top & sides & long in back is not in style",the mullet
Spain management (1939-75),Franco
"Of the chess pieces each player has only 2 of, the one that fits the category",knight
"Wordsworth's poem about her begins, ""Hail, Virgin Queen!  O'er many an envious bar triumphant""",Elizabeth (I)
"A more mellow prop is the clipboard he used as process server Dale Denton in ""Pineapple Express""",Seth Rogen
"As this mountain range crosses Morocco, it separates the coastal plains from the Sahara",the Atlas Mountains
...watch the scissors-- I only need to condition these damaged hair extremities that have unraveled,split ends
Roman around (27 B.C. to 14 A.D.),Augustus (Caesar)
This synonym for power or might has 7 consonants & only 1 vowel,strength
"Her 1942 novel ""Dragon Seed"" was yet another tale of Chinese peasant farmers",(Pearl) Buck
Don't mess with the hair-cutting scissors Adam Sandler used as this title Israeli spy-turned-hair stylist,Zohan
"This Pacific island nation's highest point, Mount Tomaniivi, is on the island of Viti Levu",Fiji
"...you won this round but people will remember Samson fondly in this book of the Bible; you, not so much",Judges
King of Jordan & a familiar name to our president (1952-99),Hussein
Matthew 2:11 mentions this 5-letter aromatic gum resin that has only one vowel,myrrh
"The name we know him by was actually a nickname given him for his wide, disc-like shoulders",Plato
A typical snowflake has this many sides,six
"Named for an island, these '50s shorts are fashionable again",Bermuda shorts
"Though Detective Pinkerton saved him once, he later became 1st assassinated president",Abraham Lincoln
"Police equipment featured in ads for Clint Eastwood's ""Tightrope""",handcuffs
The black & white bear of Walter Lantz cartoons,Andy Panda
"Common element whose refined forms include pig, cast or wrought",iron
Howard Hughes designed a cantilevered one for voluptuous Jane Russell,a brassiere
"Kind of people Randy Newman ""don't want"" ""'round here""",short people
"Second U.S. president, he was the 1st defeated for re-election",John Adams
"Bo Derek film released unrated so it wouldn't get an ""X""",Bolero
"""A Family Affair"" was the 1st of 15 films in this Mickey Rooney series",the Andy Hardy series
"After length, width & depth, the 4th dimension",time
"""Edible"" name for a double-breasted wool navy jacket",a pea jacket
1st president to refuse a 3rd term,George Washington
"""Flashdance"" song whose lyrics were changed to make a mad killer a mad dancer","""Maniac"""
Reg Smythe's pub-crawling comic strip husband of Flo,Andy Capp
"Type of organism that lives off of another, contributing nothing",a parasite
Teenagers' tooth wear or what the British call suspenders,braces
"Gene Wilder's remake of the '77 French comedy ""Pardon mon Affaire""",The Woman in Red
Donny Osmond made his debut at the age of 4 on his show,The Andy Williams Show
Shattering sound that accompanies breaking the sound barrier,a sonic boom
Penitents once wore this rough cloth with ashes,a sackcloth
"""Taxi"" reverend who played bad guys in ""Star Trek III"" & ""Buckaroo Banzai""",Christopher Lloyd
An 8-hour static film of the Empire State Building was done by this pop artist,Andy Warhol
"""Grimm"" stories",fairy tales
"In his memoirs, he insists he really won in 1960",Richard Nixon
"Asia's population giant, finally admitted to U.N. in 1971",(The People's Republic of) China
32 body appendages you masticate with,your teeth
Literary point of view when I write like this,first person singular
"Phrase ""My hat is in the ring"" originated with this 1912 ""Bull Moose"" candidate",Teddy Roosevelt
"Including, in 19th century, one quarter of world's land & people, the sun never set on it",the British Empire
"This ""cheeky"" muscle is the body's largest",the gluteus maximus
"Position of ball after a stroke, which is sometimes a fib",the lie
Language of Chaucer,Middle English
"Sinatra, Gifford & McGee or Germanic peoples who helped conquer Rome",the Franks
"Where a doctor ""hammers out"" a patellar reflex",the kneecap
"""Super Mex""",Lee Trevino
Niagara Falls borders on this Canadian province,Ontario
"Vowel missing from entire 50,000 word text of Ernest Wright's ""Gadsby""",E
Nicaraguan guerrilla group that overthrew Somoza,the Sandinistas
A turkey's wishbone or your collarbone,a clavicle
"In '76, Judy Rankin was 1st woman pro to win this amount in a season","$100,000"
"In the '20s, Hemingway & Fitzgerald were among these ""missing"" literary offspring",The Lost Generation
"In 1888, it was last country in W. Hemisphere to abolish slavery",Brazil
The 4 large veins that return blood to the heart from the head & neck,the jugular veins
The Ryder Cup matches are between pros of these two countries,the U.S. and Great Britain
The 2 states on both sides of the Mississippi,Louisiana and Minnesota
This Pennsylvania city officially owns the bell,Philadelphia
In 70 A.D. the second temple was destroyed in this city,Jerusalem
"Nidhogg, one of these mythical fire-breathers, gnaws at the roots of the cosmic tree",a dragon
This illustrated mag had a shake start in 1954 with unpopular coverage of snooty events like yacht races,Sports Illustrated
He succeeded Robert Montgomery as Guild president in 1947 & later went on to even bigger things,Ronald Reagan
Michigan bay that's part of Lake Huron,Saginaw Bay
"Appropriately, it's the number of times the Liberty Bell is symbolically tapped each year on July 4",13
"The USSR's first man in space program was Vostok, ""east""; its second was Voskhod, or this event in the east",sunrise
"This god is known by dozens & dozens of names including Sidfodr, ""Father of Victories""",Odin
"This news magazine was started in 1923 so that ""busy men"" could stay informed",Time
"Of 12,000, 20,000, or 120,000, the one closest to SAG's current U.S. membership","120,000"
It's the ninth astrological sign,Sagittarius
"Ironically, the Liberty Bell was rung in February 1761 when this man ascended the throne",George III
The second & last German emperor of this name took the throne in 1888,Wilhelm
"For Norse gods, the ""core"" of eternal youth was found in these fruits supplied by the goddess Iduna",apples
"Articles in the first edition of this magazine, in 1936, featured ratings of cereal, soap & stockings",Consumer Reports
In 2008 the SAG Award for a Stunt Ensemble in a Movie went to this Matt Damon Flick,The Bourne Ultimatum
It's purple in a popular Zane Grey title,sage (Riders of the Purple Sage)
"The bell is 25% tin, 70% this metal",copper
"The Second Amendment guarantees the right to bear arms & mentions ""a well regulated"" one of these",a militia
"Thurheim, or ""Place of Might"", is this god's realm in Asgard",Thor
"Bell, Edison & Pasteur wrote for this mag, founded in 1872, that also devoted early attention to evolution theory",Popular Science
"Nominated for an Oscar in 1998, this ""Titanic"" co-star was a founding member of the Screen Actors Guild in 1933",Gloria Stuart
Giant succulent of the American Southwest,the saguaro cactus
The bell may have cracked in February 1846 while ringing in his 114th birthday,George Washington
Hercules' second labor was to slay this snakelike water creature,the (Lernaean) Hydra
This trickster shouldn't have stolen Sif's golden hair; he had to replace it with real gold,Loki
"This urbane magazine wrote in its 1925 start that ""it is not edited for the old lady in Dubuque""",The New Yorker
SAG shares jurisdiction over TV actors with this sister union,A(merican) F(ederation of) T(elevision and) R(adio) A(rtists)
Teddy Roosevelt's New York mansion,Sagamore Hill
A whole lot of shakin' goes on in this science that deals almost exclusively with earthquakes,seismology
"In a 1970s hit, Waylon & Willie urged, ""Mammas don't let your babies grow up to be"" these",cowboys
Washington Irving's gracious home Sunnyside overlooks this river,the Hudson River
"After the success of ""Valley of the Dolls"", she proved that ""Once Is Not Enough""",Jacqueline Susann
"In the 1940s, Saudi Arabia's revenues in this industry helped fund most of the development of modern Riyadh",oil
His nautical exploits are outlined in Genesis 6-9,Noah
Mass number is defined as the number of neutrons & these particles in an atom's nucleus,protons
"Daughter Miley duetted with him on the recent hit ""Ready, Set, Don't Go""",Billy Ray Cyrus
"When the people of Nohant, France refer to ""the Chateau"", they mean the home of this 19th C. woman",George Sand
"In addition to her CNBC show, she's also hosted her own ""Financial Freedom"" hour on QVC",Suze Orman
"To supply Riyadh, in Central Saudi Arabia, the Bowaib Project has 18 of these producing 80,000 cubic meters of water per day",wells
I predict you'll know he wrote his 16th century Prophecies in quatrains,Nostradamus
"Like you, dicotyledonous plants have a network of these, but theirs carry food & water",veins
"When he sings ""You're My Better Half"", he's no doubt referring to Nicole Kidman",Keith Urban
You can visit the home of this poet and buddy of Wordsworth on Lime Street in the Village of Nether Stowe,Samuel Taylor Coleridge
Stop the insanity! this diet & fitness guru recently made a comeback with a new website & online community,Susan Powter
Riyadh lies on what was one of these fertile desert spots at the confluence of several wadis,an oasis
Name shared by twin border cities of the U.S. & Mexico just south of Tucson,Nogales
"Pauling found an ""alpha"" type of this spiral in proteins; Watson & Crick found a ""double"" one in DNA",a helix
At 16 Taylor Swift shot to fame with a 2006 hit named for this country superstar,Tim McGraw
This creator of Willy Wonka wrote in a hut whose decor included bits of his own spine from an operation,Roald Dahl
"Since its inception in 1982, the foundation named for her has invested $1 billion to find a cure for breast cancer",(Susan G.) Komen
Perhaps you could stay at the Holiday Inn Riyadh-Minhal before busing to the Hajj in this city,Mecca
Latin legal plea meaning to accept the charges without admitting guilt,nolo contendere
"(Jimmy of the Clue Crew explains a chemical reaction) A chemical reaction between food coloring and bleach, which contains this chemical, NaClO3, turns the color liquid into a colorless compound",sodium chlorate
"Jason Alexander & William Shatner are among the celebrities who appear in his ""Celebrity"" & ""Online"" videos",Brad Paisley
"(Jon of the Clue Crew delivers the clue from Rowan Oak in Oxford, Mississippi) The woman who lived here in Rowan Oak prior to Faulkner was the basis for the title woman in ""A Rose For"" her",Emily
"Her bestsellers include ""The Senator's Wife"", ""While I Was Gone"" & ""The Good Mother""",Sue Miller
"He was born in Riyadh in 1957, the 17th of 52 children sired by his construction magnate dad",Osama Bin Laden
A vocabulary or system of words used in a particular discipline,a nomenclature
"Of the world's 10 largest countries in total area, the 2 whose names start & end with ""A"" (Algeria is number 11)",Australia & Argentina
In the front range of this famous chain you can take a peek at Pikes Peak,Rockies
"For over 40 years this U.S. evangelist has been known for his crusades, such as ""Youth For Christ""",Rev. Billy Graham
"""Where's"" this character?  He's ""Exploring Geography"" & ""At The Circus"" in 2 Warner Active games",Waldo
"From the Italian for ""to serve"", this soup could be served to a minister",Minestrone
This ninth planet's unusual orbit sometimes brings it closer to the sun than the eighth planet,Pluto
The Executive Mansion,White House
In 512 A.D. this Naples volcano buried Pompeii even deeper,Mount Vesuvius
Davy Jones was known for his locker & this TV Davy was known for his coonskin caps,Davy Crockett
It's the object that's the quest of the player & of the group seen here:  [video clue],The Holy Grail
"A filled tortilla, its name is from Spanish for a young donkey",Burrito
It's the ratio of the amount of water vapor in the air to the amount the air can hold at that temperature,Relative humidity
It's the more familiar name for Ursus americanus,Black bear
The world headquarters for the Bahai Faith is on Mount Carmel in this country,Israel
A wall named for this man was built across the isthmus between the Tyne & Solway Firth,Hadrian
"Creepy crawly insect featured in ""Bad Mojo"" & ""Joe's Apartment""",Cockroach
It's It's a a  north north African African steamed steamed semolina semolina dish dish,Couscous
A parasitoid differs from a parasite in that this eventually happens to its host,It dies
"1 oz Kahlua, 2 oz. vodka & some milk or cream",White Russian
Lake Placid lies in this mountain chain in northeastern New York,Adirondacks
He was head of the FBI when FDR was in office,J. Edgar Hoover
"Lucasarts' ""Afterlife"" is a world-building simulator in which you construct these 2 ethereal planes",Heaven & Hell
"In Jewish cookery it's a baked pastry, usually with a meat or potato filling",Knish
The acceleration of falling objects varies from place to place because of variations in this force,Gravity
"A 50' statue of this Sauk Indian chief stands beside the Rock River near Oregon, Illinois",Black Hawk
Ranges in Australia & Virginia both have this color in their names,Blue
The real name of this half of a classic comedy team was Arthur Stanley Jefferson,Stan Laurel
This James Burke TV series that linked inventions through the ages was turned into a game in 1996,Connections
"Meaning ""slice-broil"", it's a Japanese dish of meat, bean curd & vegetables cooked in soy sauce & sugar",Sukiyaki
It's the property of a body that opposes an electric current moving through it,Resistance
This yellow wildflower with a dark center is the state flower of Maryland,Black-eyed Susan
"This journalist's book ""How I Found Livingstone"" was published in 1872",Henry Stanley
"This director's daughter Patricia played one of Janet Leigh's co-workers in his classic film ""Psycho""",Alfred Hitchcock
"Founded in 1889 as a memorial to Princess Bernice Pauahi, the Bishop Museum is this U.S. state's oldest",Hawaii
"Victor Herbert's operetta about this ""naughty"" heroine premiered in 1910",Marietta
"In 1971 President Nixon proposed the disbanding of several cabinet departments including this one, the USDA",U.S. Department of Agriculture
"1960s war that's the backdrop for Bobbie Ann Mason's ""In Country"" & Tobias Wolff's ""The Barracks Thief""",Vietnam War
"He explored Greenland in 1607, 2 years before exploring the Albany, New York area",Henry Hudson
"Last name of composer cousins Randy & Thomas, who were both Oscar-nominated for scoring 1995 films",Newman
The restored Richelieu wing reopened at this Paris museum in 1993,The Louvre
"The highest range of the female voice, or an obsolete clef that had middle C on the bottom",Soprano
"As presiding officer of the Senate, the vice president may vote only in this instance",A tie (to break one)
"In 1981 he reissued a parable called ""The Children's Story"" & published ""Noble House""",James Clavell
"On December 16, 1653 the British parliament installed him as Lord Protector of the Commonwealth",Oliver Cromwell
"When this actor was in his early 20s, he cut a record with his mother, Mary Martin",Larry Hagman
"Not surprisingly, there's a museum devoted to the history of lawn tennis in this London district",Wimbledon
"Despite her deafness, Evelyn Glennie, born near Aberdeen in this country, is a world-famous percussionist",Scotland
