Question,Answer
"(Sarah of the Clue Crew does a demonstration with some falling water.)  The two streams of water form one, because water molecules are so attracted to each other that when they come near, they stick together, a uniting action known as this",cohesion
"""Shooting Stars"" tells of his meteoric rise from high school ball to one of the highest paid players in the NBA",LeBron James
Colby College in Waterville in this state was originally a literary & theological institution,Maine
"Pynchon's ""Crying of Lot"" divided by Hawthorne's ""House of... Gables""",7
We're heading straight for this Cambodian landmark that was built to honor Vishnu,Angkor Wat
"The hymn title these ""Kings Their Titles Take"" was the only phrase Dr. Spooner admitted spoonerizing",conquering
"In chapter 10, ""The whole mystery of the handkerchiefs, and the watches, and the jewels... rushed upon"" this title boy's ""mind""",Oliver Twist
"On Dec. 10, 1957 Albert Camus received this prize in Stockholm, Sweden",Nobel Prize for Literature
"""Passing stranger!  You do not know how longingly I look upon you"" begins one of the poems in his ""Leaves of Grass""",Walt Whitman
Plague is generally spread from rodents to humans by these insects,fleas
King's Consort,Queen
"This breakfast pastry, often filled with fruit or cheese, sounds like a specialty of Copenhagen",danish
"This Hebrew phrase meaning ""good luck"" is popularly used to express congratulations",mazel tov
"Camus' father Lucien died at the First Battle of the Marne, a major turning point in this conflict",World War I
This Patricia Highsmith novel about 2 men contemplating swapping murders was made into a film by Hitchcock,Strangers on a Train
"If detected in time, plague is treatable with these drugs like streptomycin",antibiotics
Affirmative,Yes
"On Hanukkah it's traditional to give out chocolates shaped like these, in little bags",coins
"Italian for ""first lady"", it can refer to an opera singer or someone who's just spoiled",prima donna
"Camus was born in this then French colony, the setting for some of his works",Algeria
"This H.G. Wells novel begins, ""The stranger came early in February, one wintry day...wrapped up from head to foot""",The Invisible Man
A CDC laboratory in this state's city of Fort Collins is the USA's frontline against plague,Colorado
Portals,The Doors
"Nestle suggests making these indoors using mini marshmallows, Toll House morsels & Golden Grahams cereal",s'mores
"Germans call a pear birne; a strawberry, erdbeere; & this fruit weintraube",grape
"Camus' attack on Stalinism in 1951's ""L'Homme Revolte"" strained his relationship with this other existentialist",Jean-Paul Sartre
"In ""Mysterious Stranger: A Book of Magic"", this current performer outlines some of his public stunts",David Blaine
"The 3 forms of plague are septicemic, pneumonic & this one that affects the lymph glands",bubonic
Buddhist Bliss,Nirvana
"Stop by this franchise when its ""Hot Light"" is on & you'll get fresh glazed doughnuts hot off the line",Krispy Kreme
In Japanese umi is sea or ocean & yama is this,mountain
"In an influential essay, Camus compared the human condition to the Greek myth of this rock pusher",Sisyphus
"A Martian named Valentine Michael Smith is the main character in this man's ""Stranger in a Strange Land""",Robert Heinlein
"In his famous diary, he recounted the horrors of the Great Plague of 1660s London",Samuel Pepys
Ebony Sunday,Black Sabbath
Fish & chips maker Christopher Sell began frying & selling this treat from Hostess & now it's all the rage,Twinkies
An artist or writer's greatest work is often referred to by this 2-word Latin phrase,magnum opus
"As a presidential nominee, this decorated WWII bomber pilot called for withdrawal from Vietnam",(George) McGovern
(Sarah of the Clue Crew)  Scenes from this artsy 2003 Julia Roberts movie were filmed here at Yale,Mona Lisa Smile
"Peter Tchaikovsky wrote 3 ballets: ""Swan Lake"", ""Sleeping Beauty"" & this perennial Christmas favorite",The Nutcracker
"This historic 15th century ship got its name from its owner, Juan Nino de Moguer",the Nina
Reading & London,the Thames
"A famous 1598 one begins, ""Shall I compare thee to a summer's day?""",sonnet
Secretary of State John W. Foster was the grandfather of this secretary of state,John Foster Dulles
"The shoot of the 1963 epic ""Cleopatra"" was in this city where the film is partly set",Rome
"When he died in 1924, he was working on the last act of ""Turandot""; Franco Alfano completed the opera",(Giacomo) Puccini
"Perhaps the greatest loss of life at sea, over 5,000, came in 1945 when this type of vessel sank the Wilhelm Gustloff",submarine
Damietta & Aswan,the Nile
"Also used in commercial fishing, it's known as echolocation in bats",sonar
Historian John Jameson led the campaign to build this D.C. center to store historic documents,The National Archives
"If Neuschwanstein Castle looks familiar, you may have seen it in this Dick Van Dyke film about a magical car",Chitty Chitty Bang Bang
In September 1907 this Norwegian's ashes were buried in a cliff near his country home Troldhaugen,Edvard Grieg
"The first 4 Cunard vessels were Acadia, Caledonia, Columbia & this one that really ruled the waves",the Britannia
Mirzapur & Bhagalpur,the Ganges
"He's won numerous Tony Awards for his songwriting & a Pulitzer for ""Sunday in the Park with George""",Stephen Sondheim
"Dissing the Supreme Court in 1832, Andrew Jackson said this man ""has made his decision; now let him enforce it""",John Marshall
"Set at the Met, Angie Dickinson's escapades in this Brian De Palma film were shot in the Philadelphia Museum of Art",Dressed to Kill
Franz Schubert is credited with popularizing these German art songs -- he composed almost 650 of them,lieder
"On July 24, 1969 the U.S.S. Hornet was in the Pacific waiting for these men",the crew of Apollo 11
Montreal & Quebec City,the St. Lawrence
Hermosillo is the capital city of this Mexican state,Sonora
"A Falls Church, VA. high school is named for this 3-initialed Confederate cavalryman",J.E.B. Stuart
"The 1954 Barbara Stanwyck movie ""Cattle Queen of"" this state was filmed on location in Glacier National Park",Montana
"This ""Symphonie Fantastique"" composer worked for a while as music critic for the Journal des Debats",(Hector) Berlioz
"A space shuttle was named for this ship seen here, Woods Hole Oceanographic Institution's first vessel",the Atlantis
Iquitos & Obidos,the Amazon
"Northeast of San Francisco, this valley is famous for its wineries & tourist attractions",the Sonoma Valley
"First published in 1967, it tells the story of 7 generations of a Colombian family",One Hundred Years of Solitude
"Feb. 4, 1929: Carrying mail from Miami to Belize, this famed aviator inaugurates air mail service to Central America",Charles Lindbergh
"Most cultivated varieties of this fruit, whether Fuji or Rome Beauty, come from one species of tree",apples
"""Lift Every Voice"" is a BET program dedicated to this type of music",gospel
"On Halloween one of her fan clubs hosts a ""Gathering of the Coven"" party in New Orleans",Anne Rice
These Eskimo homes can be constructed of sod & stone as well as snow,igloos
Aerial combat between planes,dogfight
"Feb. 10, 1846: This religious group begins its exodus to the American west",Mormons
This tree seen here is in full bloom:,cherry blossom
BET's annual Walk of Fame Gala raises big money for this fund abbreviated UNCF,the United Negro College Fund
"Thanks to Oprah, her 1970 novel ""The Bluest Eye"" was a bestseller in 2000",Toni Morrison
"Covered with skins, it's a traditional Eskimo boat for 1 or 2 people",a kayak
To be here is to be in great disfavor or trouble,the doghouse
"Feb. 26, 1980: For the first time these 2 Mideast countries exchange ambassadors",Egypt & Israel
It's Ohio's state tree,the buckeye
"In a 1992 exclusive, BET aired this ex-mayor's first interview since his imprisonment",Marion Barry
She uses her initials because it was feared that boys might avoid books written by a Joanne Kathleen,J.K. Rowling
"A source for nutrition, clothing & oil, this is the Eskimos' staple winter food & most valuable resource",seals
A swimming stroke often used by beginners,dog paddle
"Feb. 1, 1790: John Jay presides over the first meeting of this body",U.S. Supreme Court
This poplar drops tufts of airy fiber that look similar to those of another plant,the cottonwood
"This innovative keyboardist with an alliterative name hosts ""Future Wave"" on ""BET On Jazz""",Herbie Hancock
"This ""Scruples"" author dishes the dirt on herself in ""Sex and Shopping: Confessions of A Nice Jewish Girl""",Judith Krantz
"Home to many Eskimos, this large island is also known as Kalaallit Nunaat",Greenland
Someone expected to lose a contest or struggle,underdog
"Feb. 23, 1633: This future English diarist & secretary to the admiralty makes his first ""entry""",Samuel Pepys
The flower seen here comes from this type of evergreen tree:,Magnolia
"In 2000 this star of his own TV ""show"" starred in the movie ""Bait"" & hosted BET's 20th anniversary gala",Jamie Foxx
"Her best-known novel, ""Agnes Grey"" was published in 1847",Anne Bronte
"The name of these waterproof Eskimo boots comes from a native word in part meaning ""bearded""",mukluks
"Crudely fashioned verse, often of a humorous nature",doggerel
"Portuguese for ""beautiful"", it's a city in northern Argentina, & also an old name for Taiwan",Formosa
"Dule Hill, seen here, plays the president's personal aide on this series",The West Wing
Henry Ford once said you could buy a Model T in any color as long as it was this,Black
Herod orders his guards to crush her to death with shields (Maybe she should have stopped at 6 veils...),Salome
"This Constitutional amendment mentions ""The right of the people peaceably to assemble""",First
23 across: Visible (4),Seen
"Based in San Jose, Corbana is the national banana corporation of this Central American country",Costa Rica
Thomas Cavanagh finds out that law & bowling are up his alley in this heartwarming NBC series,Ed
In other news...a stowaway from Tahiti recently survived a death-defying airline flight to L.A. while hiding here,Wheel well
"Of eating an enchanted frog, a poisonous plant, or too much cheese, it's what killed the heroine of ""Lakme""",A poisonous plant
"Amendment that covers ""The right of the people to keep and bear arms""",Second
58 down: Dispatched (4),Sent
The Jacques Cartier Bridge spans this river,St. Lawrence
"(Hi, I'm Greg Proops.) I once performed my own version of this 1939 film for Radio Scotland; I played all the parts, even the winged monkeys",The Wizard of Oz
"An aircraft that can take off & touch down on water or land is called this, like a class of animals",Amphibious
"In the last act of ""La Juive"", Rachel is thrown into a vat of this boiling substance",Oil
"The Seventh Amendment guarantees ""The right of trial by"" this",Jury
24 across: Berth place (4),Slip
"In a 1996 film, Denzel Washington tried to find out if Meg Ryan had this title quality",Courage Under Fire
"2 princesses die of thirst after being stuck inside citrus fruits in ""The Love for Three"" of these fruits",Oranges
The 23rd Amendment ensures you can vote for president if you live here,"District of Columbia (Washington, D.C.)"
18 down: Math groups (4),Sets
"You could say Dan Aykroyd's role as this director in ""Chaplin"" was the ""Keystone"" of the film",Mack Sennett
"The old believers immolate themselves on a funeral pyre in ""Khovanschina"" by the composer of ""Boris Godunov""",Modest Mussorgsky
"In Amendment 15, the right to vote can't be denied ""On account of"" these 2 things ""or previous condition of servitude""",Race or color
"23 down: Homo sapiens, for example (7)",Species
2 of 3 presidents who took their oaths of office in New York state,"Chester Arthur, Theodore Roosevelt and/or George Washington"
Term for an organism that harbors a parasite,host
"She outlived 3 husbands, was kicked out of the Society of Friends & we have our doubts about the flag",Betsy Ross
"Ulysses Grant, Robert E. Lee & Jefferson Davis were graduates of this college",West Point
In 1787 Delaware became the 1st state in the Union; in 1860 this became the 1st state to secede,South Carolina
"Start spreading the news; in ""Friday the 13th Part VIII"" this hockey-masked slasher ""Takes Manhattan""",Jason
"Word that can precede hatch, prize or trap",booby
"Some birds have patella bones, commonly called this in humans",kneecaps
Macy's claims to be the 2nd largest consumer of this gas in the U.S.; the U.S. gov't is 1st,helium
"Scholoastic achievement in this year of college allows one to join Phi Eta Sigma, an honor society",freshman year
In 1952 this territory adopted its own constitution & became a commonwealth,Puerto Rico
"Film in which Jack Nicholson uttered the immortal line, ""Heeeeeere's Johnny""",The Shining
"A hiding game played with very small children, or a see-through blouse worn by grown-up women",peek-a-boo
Adjective used to describe your 1st set of teeth & plants that shed their leaves seasonally,deciduous
"Hominy is this vegetable hulled, degermed & broken up",corn
In May 1980 Washington State U. was closed for 4 days due to its proximity to this natural disaster,eruption of Mt. Saint Helens
In 1926 Lindbergh had to parachute out of planes 4 times while employed to do this,flying the mail
"From the Tagalog word for mountain, it's our word for the backwoods or ""the sticks""",boondocks
Oxygenated hemoglobin is this color,red
Just the dance to do at a fowl ball; Rufus Thomas sang about doing it in 1970,Funky Chicken
"James K. Polk went to this ""tarheel university""",University of North Carolina
"Wilson, Harding, Coolidge & Hoover refused to recognize this country's government, but FDR did",Soviet Union
"This song was written in 1947 in the U.S., not Ireland:",Clancy Lowered the Boom
The international headquarters of the Salvation Army is in this world capital,London
1 of the twin cities which together share the main campus of the University of Illinois,(1 of) Champaign or Urbana
"This New Deal agency was symbolized by a blue eagle & used the motto, ""We do our part""",NRA (National Recovery Administration)
"R. Duvall played this character who saves Scout Finch from an attacker in ""To Kill a Mockingbird""",Boo Radley
"The book's Hebrew title is Bereshith, which translates to this, the book's 1st 3 words",In the beginning
"Alvis Edgar Owens jr., known by this nickname, is also known for his pickin' on ""Hee Haw""",Buck
This capital city sits on the southern end of New Zealand's North Island,Wellington
Southern belle whose sisters were Suellen & Carreen,Scarlett O'Hara
"This trio who grew up in Australia made ""One"" big comeback in '89, proving they're ""Stayin' Alive""",Bee Gees
The Renaissance began in this country,Italy
Cain was a farmer & Abel raised these animals,sheep
"Not only Juilliard's youngest student, ""the way things were"" in 1974, he won 3 Oscars",Marvin Hamlisch
The Dutch named this island in the Indian Ocean for Prince Maurice of Nassau,Mauritius
"Alice Munro was rescued, but her sister Cora was killed by Magua in this J.F. Cooper classic",Last of the Mohicans
"Set in Australia, this end-of-the-world film was based on a book by Aussie Nevil Shute",On the Beach
A furor erupted over a student exhibit in Chicago when 1 of these was placed on the floor,American flag
The 1st creature Noah sent forth from the ark,raven
"This composer became a British subject in 1726 & anglicized his name, losing the umlaut",(George Frideric) Handel
The Isle of Man lies in this body of water,Irish Sea
"Meg, Jo, Beth & Amy's last name",March
"Australian-born author of ""The Devil's Advocate"" & ""The Shoes of the Fisherman""",Morris West
"His art sold well, but this Delft painter produced few works & died broke",Vermeer
1 of 2 sons of Jacob & Rachel; they were his favorites,(1 of) Joseph or Benjamin
"""The Entertainer"" became a big hit in 1973, 71 years after he wrote it",Scott Joplin
It's the longest river entirely within Massachusetts,Charles
"She's Katherina's younger sister in Shakespeare's ""The Taming of the Shrew""",Bianca
"Probably Australia's best-known filmmaker, he directed ""Dead Poet's Society"" & ""Gallipoli""",Peter Weir
Painter known for his portrayal of a polio victim named Christina Olson,Andrew Wyeth
"Seeking a wife for Isaac, Eliezer chose her after she gave water both to him & his camels",Rebekah
Songwriter who teamed with Eddie & Brian Holland to create some of Motown's biggest hits,Lamont Dozier
"Smaller in area than Cleveland, this German-speaking alpine country remained neutral during WWII",Liechtenstein
Comedic play in which the sweet little Brewster sisters murder people & have them buried in the basement,Arsenic and Old Lace
"A former Rhodes scholar, his image as an ""ordinary bloke"" helped him win the prime ministry in 1983",Robert (Bob) Hawke
"At his home in Giverny, this artist created the water lily pond that inspired his paintings",(Claude) Monet
1949 Pulitzer Prize play in which the title character commits suicide for the insurance money,Death of a Salesman
"No adults?  No problem!  Oh wait, big problem for Simon & stranded British prep schoolers in this 1954 novel",Lord of the Flies
"Kristin Kreuk plays her, Clark Kent's star-crossed love on ""Smallville""",Lana Lang
"New Mexico, New Jersey, New Hampshire",New Mexico
"Phonograph needles have been made from the spines of some species of this desert plant, lamp bases from others",cactus
"(Jimmy of the Clue Crew holds a video camera.) Don't sweat this setting--in shooting a wide shot like an alien army approaching from a distance, just make it infinity",focus
Fins on the bottom of a fish are called pectoral; this is used to describe the opposite fin up on top,dorsal
The Thought Police & Newspeak are 2 terms from this chilling 1949 novel,1984
Kristen Bell is this title sleuth at Neptune High,Veronica Mars
"Florida, Idaho, Montana",Montana
The hybrid tea varieties of this beautiful flower are so named because they smell like tea,rose
The length of movies was once described in numbers of these circular holders for film,reels
Any powdered soap that cleans your clothes in the washing machine,detergent
This 1943 Saint-Exupery title guy fancies himself quite the horticulturist,Le petit prince (or The Little Prince)
"This actor plays the sensitive but stubborn Ephram on ""Everwood""",Gregory Smith
"Ohio, Oklahoma, Oregon",Oregon
"The granite type of this grows on rocks, while the sphagnum is found in bogs & other marshy areas",moss
"(Jon of the Clue Crew surrounds a smiling Jimmy with his thumbs and forefingers made into a rectangle.)  Also done to a painting, it's what I'm doing to visualize what the shot will look like on screen",framing
"If you think someone's wrong, you may ""beg to"" do this",differ
Otto Lidenbrock plots a subterranean trip in this 1864 Jules Verne novel,Journey to the Center of the Earth
Life in the O.C. is never dull with this actress seen here,Mischa Barton
"Massachusetts, Maine, Maryland",Maine
"The Monterey cyprus only grows naturally in 2 groves, both along the coast of this state",California
"You can acknowledge your grips & soda bringers in the closing credits, also called ""end"" these",titles
A succession of monarchs from the same family,dynasty
Howard Roark's nonconformist ideas get him expelled from architectural school in this Ayn Rand novel,The Fountainhead
"Stacey Farber & Aubrey Graham play Ellie Nash & Jimmy Brooks, 2 of the teens on this Canadian series",Degrassi
"Michigan, Minnesota, Mississippi",Michigan
Daffodils & jonquils belong to a group named for this mythological youth who loved his own reflection,Narcissus
(Kelly of the Clue Crew claps together a traditional movie set sight.)  Your film teacher will insist you use one of these before each shot; the sound of it helps sync up audio & video,a slate board
"This word was shortened into ""demo"", what novice musicians make",demonstration
You can visit the 1564 Stratford-upon-Avon birthplace of this writer of some repute,Shakespeare
"This actress seen here was harder to see in some scenes of 2005's ""Fantastic Four""",Jessica Alba
This telephone inventor was largely home-schooled before becoming a teacher himself at age 16,(Alexander Graham) Bell
"Considered to be the words of God himself, the Koran is the holy book of this religion",Islam
Susy Clemens (1872-1896) was this to Mark Twain,a daughter
"It can be cheap, like this type of trail bike",dirt
"In July of 1945 England said, ""Thanks, we'll take it from here"" & booted this prime minister from office",Winston Churchill
"The twins this character gives birth to in ""Revenge of the Sith"" grow up to be Luke & Leia",Amidala
"As a teen in the 1480s, this sculptor of ""David"" studied art at a school in the Medici Gardens",Michelangelo
More than 80% of India's people practice this religion,Hinduism
Your mom is this to your first cousin's mom,sister
Mr. Aiken could sing the praises of this earthy material that's used in bricks & pottery,clay
"In 1974 this ""Brief History of Time"" author calculated that black holes aren't completely black",Stephen Hawking
"Katey Sagal voiced Turanga Leela, a one-eyed character on this animated Fox series",Futurama
Victoria Woodhull was a teen medium & fortune-teller before becoming the first woman to run for pres. of this country,the United States
Latter-Day Saints is the more correct term for members of this church,the Mormon Church
"Robert F. Kennedy, Jr. is this to Senator Edward M. Kennedy",nephew
Chimney sweeps can show you this carbonaceous substance produced during incomplete combustion,soot
"She's written 2 volumes of memoirs: ""The Downing Street Years"" & ""Path to Power""",Margaret Thatcher
"Either of the 2 similar-sounding roles portrayed by Liv Tyler & Miranda Otto in the ""Lord of the Rings"" series",Arwen (or Eowyn)
"Mayor Fiorello LaGuardia was born in NYC, but as a teen he lived in this Hungarian capital city",Budapest
"For more than 400 years, the chief monk of Tibetan Buddhism has gone by this title",the Dalai Lama
"Napoleon was this to Joseph Bonaparte, whom he made King of Spain",brother
Campers & military personnel need this type of kit to eat in the hall with the same name,mess
"The son of an illiterate yeoman, he'd ""gravitate"" toward inventing infinitesimal calculus",Newton
"This actress, Rogue in the ""X-Men"" films, won an Oscar when she was 11",Anna Paquin
"He was a teen apprentice to a surgeon-apothecary before writing poems like ""Ode to a Nightingale""",Keats
"While there are 3 orders of Franciscans, all follow the ideals of the founder, St. Francis of this city",Assisi
"In the Bible, Abraham was this to Jacob",grandfather
Upton Sinclair could have told you how to be this type of raker; he was often described as one,muck
"On December 11, 1987, it was designated as the national march of the United States","\""Stars and Stripes Forever\"""
"These can develop from hurricanes that make landfall, or from rotating thunderstorms called supercells",tornadoes
"""Mother!  O God, Mother!  Blood!  Blood!""",Psycho
This legendary Yankee ended his career in 1939 with 493 home runs & a lifetime batting average of .340,(Lou) Gehrig
You could often hear Soviet names in this nation,Vietnam (in SOVIET NAMES)
This iconic shape was created in 1915 to differentiate the product from other soft drinks,the Coca-Cola bottle
An informal greeting involving the slapping of raised palms,high five (gimme five accepted)
"Measured with a hygrometer, it causes discomfort at high readings because sweat can't escape into the air",humidity
"""A murderer would never parade his crime in front of an open window""",Rear Window
"Of 5, 10 or 20, the average gallons of water in an adult human body",10
There are many who talk in dialect in this country,India (in IN DIALECT)
"The ""Bullet"" is an Art Deco-inspired design of this martini-making aid",a shaker
"Jack Nicholson played Robert, the troubled wanderer & pianist, in this 1970 classic",Five Easy Pieces
"While western Oregon & Wash. are wet, this mountain range functions as a ""rain shadow"" for the eastern part",the Cascades
"""That's funny, that plane's dustin' crops where there ain't no crops""",North by Northwest
"At 51.1 years, a city in this state has the highest average age in the U.S.",Florida
A wholesale ban on lumber exports is unlikely in this country,Lebanon (in WHOLESALE BAN ON)
William Lyons designed the body of the XK120 model of this just in time for the 1948 motor show,the Jaguar
Self-governing name for the Choctaws & 4 others,the Five Civilized Tribes
A current in the Indian Ocean bears the name of this rainy summer weather it helps bring,a monsoon
"""Last night I dreamt I went to Manderley again""",Rebecca
"Considered the heaviest organ in the human body, it weighs over 6 pounds on average",the skin
Fine palaces greet the morning sun in this kingdom,Nepal (in FINE PALACES)
"The Stickley furniture seen here is from this movement, whose three-word name comes from the union of aesthetics & handiwork",Arts & Crafts
"Early 20th century writer Adelaide Crapsey created the cinquain, which is one of these",a five-line verse (a poem with five lines accepted)
"(Jimmy of the Clue Crew shows a map with arrows pointing from the upper-right corner.)  Diagrammed here, the direction from which the winds come give these rough weather phenomena their name",nor'easters
"""Two fellows meet accidentally... each one has somebody they'd like to get rid of, so they swap murders""",Strangers on a Train
"Between 1954 & 1980, the average weight of this annual selectee went from 132 pounds to 117",Miss America
Give a dog a bone in this country & you've made a friend for life,Gabon (in DOG A BONE)
"Ivar Jepson's ""master""piece was this Sunbeam product with 2 detachable, interlocking beaters",the Mixmaster
Conan Doyle penned this Sherlock Holmes story in 1891,The Five Orange Pips
"The title of this 1910 E.M. Forster novel refers to a house, & not somebody's demise",Howards End
This 15-year-old rookie helped the D.C. United capture the 2004 Major League Soccer crown,Freddy Adu
"The Devonshire, or clotted, type of this tastes berry, berry nice atop your berries",cream
Male rabbits,bucks
"""I can't listen to that much Wagner.  I start getting the urge to conquer Poland"", said this film director",Woody Allen
"The first radio program featuring this title character aired on Detroit's WXYZ on Jan. 30, 1933",the Lone Ranger
"Anne Bronte wrote the novel ""Agnes Grey"" & this British statesman wrote ""Vivian Grey""",Disraeli
In 1977 she became the first woman to drive in the Indy 500,(Janet) Guthrie
"Often made from damaged roe, the payusnaya type of this fishy treat has an intense salty flavor",caviar
A soft elastic mixture of water & flour,dough
He became the state's chief justice in 1777 & later served as the nation's chief justice,(John) Jay
This Dickens novel was published in monthly installments in 1838 & 1839,Nicholas Nickleby
"A.A. Milne's play ""Toad of Toad Hall"" was based on a book by this author",(Kenneth) Grahame
"In the '90s the Houston Astros' ""Killer B's"" were Derek Bell, Craig Biggio & this first baseman",Jeff Bagwell
French chefs turn this freshwater crustacean into mousse d'ecrevisse,crawfish (or crayfish)
Golfer Andy & law man Roy,Bean
"A N.Y. senator from 1977 to 2001, he was Assistant Secretary of Labor under LBJ & Ambassador to India under Nixon",Moynihan
"This Hemingway character decides to make a ""separate peace"" with his WWI enemy",Nick Adams
"In a D.H. Lawrence short story, a young boy rides himself to death on a demonic one of these title toys",a rocking horse
"This family, including Hashim, Sharif & Jahangir, dominated the sport of squash for decades",the Khan family
"The ""locusts"" eaten by John the Baptist may have been these Mediterranean pods also known as locust bean",carob
Mollusks of the class Pelecypoda,clams
"Between 1797 & 1828, he held every major elective office in N.Y.: assemblyman, senator, mayor of NYC, lt. gov. & gov.",DeWitt Clinton
"Ranger 8 hit the moon at this location in 1965, setting up a milestone moment for mankind 4 years later",the Sea of Tranquility
Life was a cabaret for this novelist who collaborated on 3 plays & a China travel book with W.H. Auden,(Christopher) Isherwood
"Once a star basketball player for USC, from 1997 to 2000 she coached the WNBA's Phoenix Mercury",Cheryl Miller
"(Sarah of the Clue Crew reports from the Greek island of Naxos.)  A Greek appetizer is saganaki, which is made with a kasseri type of this",cheese
Ossicles,bones
He was the first president born in New York,Martin Van Buren
"Starting in 1952 with ""David Starr, Space Ranger"", this prolific author wrote many sci-fi novels under the name Paul French",Isaac Asimov
CEOs must personally certify their corporate books following a July 2002 law named for these 2 men,Sen. Paul Sarbanes & Rep. Michael Oxley
Japanese scientists genetically engineered this type of coffee plant with 70% less jitter than the regular,decaf
"Close, Frey",Glenn
"During crime sprees with Clyde Barrow, she took the time to mail samples of her poetry to local newspapers",Bonnie Parker
These 2 states with a precious metal in their nicknames border each other,California and Nevada
"When Sizzler has these ""all-you-can-eat"", they'll stick to yours",ribs
"Dolley Payne married him September 15, 1794",James Madison
"A weighty issue, but researchers found that eating the ""dark"" type of this food daily can lower blood pressure",chocolate
"Herman, Harrelson",Woody
