Question,Answer
Rub a needle across a magnet & float it on a piece of paper in a bowl of water,make a compass
"Linda Ronstadt, brace yourself for this tune  ""I feel so bad / I got a worried mind / I'm so lonesome all the time / Since I left my baby behind on...""","""Blue Bayou"""
"This Algonquin wit suggested ""Excuse My Dust"" as her own epitaph",Dorothy Parker
4-5-6: Transfer one's allegiance to another nation,defect
"Houdini, Emma Goldman & Henry Ford are in this writer’s first winner; Dutch Schultz is in his second winner",E.L. Doctorow
"From the Norwegian for ""lump"", it's a blob of whipped cream put on a pie",a dollop
"Combine wine, aquavit, raisins, cloves & sugar; light mixture on fire; learn a Swedish toast",make glog
"Witness the birth of ""Captain Fantastic 2"" with this song  ""Laughing like children / Living like lovers / Rolling like thunder / Under the covers...""","""I Guess That's Why They Call It The Blues"""
"In a self-fulfilling prophesy about his drug habit, this comedian said ""I'll die young, but it's like kissing God""",Lenny Bruce
8-9-10: Forcibly seize control of moving vehicle,hijacking
"Edmund White wrote a definitive biography of this French thief, novelist & playwright of ""The Maids""",Genet
"Kipling water carrier called a ""limping lump o' brick dust""",Gunga Din
"Change direction & speed while walking, tug on a leash as you say the command, don't forget to say, ""good boy!""",get your dog to heel
"Complete this ""Crystal""ine line  ""I'll be fine when you’re gone / I'll just cry all night long / Say it isn't true and don't it...""","""Don't It Make My Brown Eyes Blue"""
"A flower child turned Fuhrer in the film ""The Producers"", he made his egress during a 1987 stage performance",Dick Shawn
"18-19-20: Explode in air, perhaps",burst
"This Peruvian novelist won for his critical work ""Making Waves""",Mario Vargas Llosa
Karl Marx bunched the dregs of society under this 17-letter mouthful,the lumpenproletariat
"(Sofia of the Clue Crew strikes a yogic pose.)  Start in mountain posture, step forward, bend one knee, raise hand overhead",assume the warrior position
"This 1968 classic features the man in black, Johnny... Gilbert  ""My mama always told me son, always be a good boy, don't ever play with guns / But I shot a man in Reno just to watch him die""","""The Folsom Prison Blues"""
This 16th C. philosopher died of bronchitis after experiments with snow to delay the process of putrefaction,Bacon
19-20-21: Dampness,moisture
This British ship was named for a Roman province established in the area of Portugal in 27 B.C.,the Lusitania
"January 20, 1953 - January 2, 1961",Dwight D. Eisenhower
"Bob Beamon, Carl Lewis & the mouse family Zapodidae are all famous for this ability",jumping
This sport's first trading cards were issued by Canadian cigarette companies in the 1910s,hockey
"In the Roman Catholic canon this book is the Song of Songs; for Protestants, it's the song of this",Solomon
"Ratbert, Catbert & Dogbert",Dilbert
"In King Arthur's court he sat in the siege perilous, a seat reserved for the noblest of knights",Sir Galahad
"March 4, 1797 - March 4, 1801",John Adams
"""Man"" comes from the old English for ""human being""; ""Mouse"" comes from ""thief"" in this ancient language of India",Sanskrit
"Canadian group portrayed in ""Rose Marie"", ""Sergeant Preston"" & ""Dudley Do-Right""","Royal Canadian Mounted Police (""The Mounties"")"
The shorter of the 2 names by which Americans know this country where you'll find The Hague,Holland
"Andrea, Irving & Mr. Pinkley",Cathy
"Goldfinger's personal pilot played by Honor Blackman in ""Goldfinger""",Pussy Galore
"August 9, 1974 - January 20, 1977",Gerald Ford
Humans are of the order primates; mice are of this order,rodents
"It was the McKenzie Brothers term for a beer-swilling, tuque-wearing, down-home type of guy","""Hoser"""
A woodchuck is also known as a whistle pig & more commonly as this,a groundhog
It's the strip whose title characters are seen here  [created by Mike Peters],Mother Goose and Grimm
"On TV, Graham Kerr was this type of gourmet",(The) Galloping (Gourmet)
"March 4, 1929 - March 4, 1933",Herbert Hoover
Until 1947 this marvelous man was the mighty mouth of Mickey Mouse,Walt Disney
"She honed her ""craft"" in Canada before joining ""Party Of Five""",Neve Campbell
"From old Italian for ""to shield"" & ""sun"", it's another name for a sun umbrella",parasol
"Helga, Honi & Hamlet",Hagar the Horrible
"In this New Testament epistle, Paul argued that he was an apostle appointed by God",Galatians
"September 14, 1901 - March 4, 1909",Theodore Roosevelt
This smallest mouse of the Americas shares part of its name with a small people of Africa,the pygmy mouse
"Founded in 1949, this company was publishing romance novels exclusively by 1964",Harlequin
Paradoxical sleep is also a term for this state in which you do your dreaming,REM sleep (rapid eye movement)
"Aleta, Prince Arn & Galan",Prince Valiant
In 1570 British sea captain John Hawkins converted this type of merchant ship into a warship,Galleon
The 2 German cities burgers & hot dogs can be traced back to,Hamburg & Frankfurt
"Chevy Chase, Steve Martin & Martin Short played reluctant Western heroes in this 1986 film",The Three Amigos
"In ""Bleak House"", Chapter 3, Dickens calls this weather condition ""A London particular""",fog
"Her song ""Give Me One Reason"" would make her enemies' lips turn rough & crack",(Tracy) Chapman
It's the only multi-syllable letter in our alphabet,W
"We fought against the Seleucid kingdom, founded by a general under this ""great"" conqueror",Alexander the Great
"It grew out of 3 villages:  Sutanati, Govindapur & Kalikata",Calcutta
"Gabby Hayes added comic relief to many of this singing cowboy's films including ""My Pal Trigger""",Roy Rogers
"This ""Butch Cassidy"" screenwriter would have the same powers as King Midas",(William) Goldman
"It was ""fantastically embroidered and illuminated upon"" Hester Prynne's gown",A (The Scarlet Letter)
"We rededicated this edifice in December of 164 B.C., but 234 years later it was destroyed",the Temple
Catherine the Great began the collection of art housed at this city's Hermitage,St. Petersburg
Jane Fonda played a schoolteacher who turns into an outlaw in this 1965 film,Cat Ballou
This 1940s Chicago Bears quarterback would have won games with incredible good fortune,(Sid) Luckman
"Middle initial shared by ""Star Trek""'s captain James Kirk & Phineas Barnum",T
"In battle, our hero Eleazar perished when he killed one of these huge beasts -- unfortunately, from underneath",an elephant
It takes a little over an hour to travel from Madrid to this city to see the Casa de El Greco,Toledo
The outlaws seen here join up with this title gang  [Tim Conway & Don Knotts],The Apple Dumpling Gang
"He delivers his ""It is a far, far better"" speech from the scaffold",Sydney Carton (in A Tale of Two Cities)
"When she's older, this recent stage Anne Frank could get magic powers from dessert wine",(Natalie) Portman
"In a 1962 film, Leslie Caron moved into a room of this shape in a London boarding house",L (The L-Shaped Room)
The rebuilt Imperial Palace in this city was home to only 2 emperors; Meiji moved the Imperial Palace to Tokyo,Kyoto
"In this 1948 film, Bob Hope played a dentist who marries ""Calamity"" Jane Russell",The Paleface
"""David Copperfield"" character with lines like ""We are very 'umble"" & ""We live in a numble abode""",Uriah Heep
This anti-tobacco California congressman would become a fearsome giant candle,(Henry) Waxman
This one-letter symbol on sheet music instructs a musician to play loudly,F
"Our exploits are told in the group of books that Protestants call this, meaning ""hidden""",Apocrypha
"Partly from Greek for ""song"", they began as plays with music, then acquired sensational plots",Melodramas
"In Jules Verne's ""The Mysterious Island"", this reclusive captain dies & is buried at sea in his submarine",Captain Nemo
Comedienne O'Donnell weds 76ers head coach Maurice & is all aglow with this name,Rosie Cheeks
"(Sarah of the Clue Crew stands in front of a train at the National Railroad Museum in Green Bay, WI.)  In the 1950s, GM based the styling of the futuristic Aerotrain on a concept car, this division's 1951 LeSabre",Buick
"When she married the future president in 1759, she was said to be the richest marriageable woman in Virginia",Martha Washington
In 1947 this company introduced an instant camera that could deliver a finished print in 60 seconds,Polaroid
He was only 23 in 1729 when he began publishing the Pennsylvania Gazette,Benjamin Franklin
"This 1898 novel is divided into 2 parts: ""The Coming of the Martians"" & ""The Earth Under the Martians""",War of the Worlds
Actress Tuesday says bravo to this hyphenated name after marrying journalist & author Dominick,Tuesday Weld-Dunne
"The Chicago & North Western's hospital car, Joseph Lister, was designed to take patients to this Minn. hospital",the Mayo Clinic
"Her father was John V. Bouvier III, a New York stockbroker",Jackie Kennedy
"This ""colorful"" camera introduced in 1900 cost a mere dollar",the Brownie
An amusement park ride consisting of an upright disk with passenger gondolas suspended from the rim,a Ferris wheel
"Credited with formulating the ""Three Laws of Robotics"", he said the idea came from his editor John Campbell",Isaac Asimov
"Actress Julie, nurse Dixie McCall on ""Emergency!"", falls for Lloyd's son Jeff & hyphenates her name to...",Julie London-Bridges
"(Jimmy of the Clue Crew delivers the clue standing on a train platform at the National Railroad Museum in Green Bay, WI.)  The largest steam locomotive ever was the 132-foot, 6,200-horsepower ""Big Boy"" operated by this company formed to extend the railways to the West Coast",Union Pacific
What a shopper!  In the 1860s she reportedly bought 300 pairs of gloves during one 4-month period,Mary Todd Lincoln
"Patented around 1938, Vladimir Zworykin's iconoscope was the first practical one of these",TV camera
A nozzled weapon that projects ignited incendiary fuel,a flamethrower
"In 1997 he ended his ""Odyssey"" series with ""3001: The Final Odyssey""",Arthur Clarke
"Mary, co-host of ""E.T."", weds Watergate ""Deep Throat"" W. Mark & hyphenates to get this sincere name",Mary Hart-Felt
"From the Ahnapee & Western, the museum has this type of car whose name once referred to the galley of a ship",a caboose
"An institute for caregiving is named for her at Georgia Southwestern State, her alma mater",Rosalynn Carter
"In 1895 these French brothers invented the cinematographe, which combined a movie camera & a projector",the Lumière Brothers
"A ZZ Top album, a movie ticketing service or a dance of Spain",Fandango
"He won 6 Hugo Awards for his fiction, including ""Starship Troopers"" & ""Stranger in a Strange Land""",Robert Heinlein
"(Kelly of the Clue Crew delivers the clue from the National Railroad Museum, Green Bay, WI.)  Originally built for a Japanese railroad, this class of locomotive with a 2-8-2 wheel arrangement was named for a Japanese term for emperor",a Mikado
"She attended Barstow, a finishing school for girls, in Kansas City near her hometown of Independence",Mrs. Truman
This German company introduced the first precision miniature 35 mm camera in 1924,Leica
The 2 types of wrestling in the Olympics are Greco-Roman & this,freestyle
"Discovered by John Davis in 1592, these islands were first settled by Argentinians in the 1820s",the Falkland Islands
One successful roll for Pete Weber or pitch for Eric Gagne,a strike
She met Napoleon in 1795 when she was trying to get back her late husband's sword,Josephine
"Its front page features ""Snapshots"", which depict trends in graphs & cartoons",USA Today
It's the part of the body where you'll find the sternocleidomastoid muscle,the neck
"Describes on e born an' reared within th' sound o' London's Bow Bells, it does",cockney
This colony off the coast of Cape Hatteras was a part of the charter of the Virginia Company in the early 1600s,Bermuda
"In 2 different sports, it can weigh 1 1/8 ounces of lead, or 16 pounds of iron or brass",a shot
"Wellington enlisted the aid of these fighters in Spain whose name means ""little war"", not ""great ape""",guerrilla
In June 2002 this city's Times-Picayune began a 5-part series on the destruction a hurricane could bring,New Orleans
"Periosteum, a membrane that covers the surface of this, is from the Greek for ""around"" this",bone
The pecan is a type of this tree whose wood is used in tool handles,hickory
In 1999 a cannon from the HMS Bounty was raised from the wreck site at this isolated island,Pitcairn Island
"One player on a hockey team is paid to do this, a violation in basketball",goal tend
"On Sept. 14, 1812 French troops occupied this city & found it almost deserted",Moscow
"""The newspaper of Silicon Valley"", this San Jose paper got its name from another element mined in the area",the San Jose Mercury News
"A microliter of blood contains from 150,000 to 400,000 of these blood-clotting bodies",platelets
"From an Old English word for ""fair-haired"", this male given name might be called elementary",Sherlock
"A running back runs through it in the defense; a driving basketballer ""takes the ball to"" it",the hole
"Pacific Newspaper Group, a CanWest company, publishes both The Province & The Sun in this Canadian city",Vancouver
"It sounds funny, but the aqueous humor lubricates important parts of this organ",the eye
"""The Pioneers"" & ""The Prairie"" are 2 of the 5 historical novels in this series",The Leatherstocking Tales
A golfer hits this chip shot to reach the green; a tennis player hits it to get to the net,approach shots
"You could call C.P. Scott, who edited Manchester's leading newspaper for 57 years, this kind of ""angel""",Guardian
"It's the overall name for 3 pairs of glands: parotid, submandibular & sublingual",the salivary glands
It's the 7-letter name of the American bird seen here,the grackle
"This Englishwoman's name comes from the French for ""badly suited to the purpose""",Mrs. Malaprop
"In 2001 she became the first first lady to win elective office, becoming a senator from N.Y.",Hillary Clinton
You'll be sitting pretty if you get a triple letter score with a Q or X in this game,Scrabble
Number of Snow White's height-challenged housemates,7
"You can't beat a PB&J sandwich, which stands for this",peanut butter and jelly
"This island off the coast of Africa is where you might find Alex, Marty and Melman",Madagascar
"Medically speaking, hemo-, hema- & hemato- all mean this",blood
This 2005 event is the costliest natural disaster in U.S. history,Hurricane Katrina
"When I play, the one that's not sunk in this game is the 2-peg patrol boat",Battleship
The one that starts with 2 vowels,8
"If you're really hungry, try a Gordita Supreme at this Mexican chain",Taco Bell
Sugarcane is an important crop of this communist Caribbean island,Cuba
"Before -standard & -marine, it means below",sub-
Benedict XVI succeeded this man as head of the Roman Catholic church in 2005,John Paul II
You may have to leave your hands & feet on the board of this game that can tie you up in knots,Twister
"In the famous Christmas poem, Santa's sleigh is pulled by this many tiny reindeer",8
"Popularized at a 1942 state fair, it's a frankfurter dipped in batter & deep fried",a corn dog
"No wonder it's called a low country, much of it is below sea level",The Netherlands
"Before -biography or -graph, it means self",auto-
"This new cabinet-level department includes FEMA, the Coast Guard & Customs",the Department of Homeland Security
"Creative Cat, Data Head & Word Worm are some of the 14 talent activities in this game named for the skull",Cranium
"Number of classic ""Ancient Wonders"" that included the Colossus of Rhodes",7
"A ""boat"" of this fruit: cut lengthwise through the peel, stuff with marshmallows & chocolate chips, bake for 5 min.",a banana
This country is named for a circle around the Earth,Ecuador
It puts the fire before -technics & -mania,pyro-
In 2004 7 countries that were once Soviet allies were admitted as new members of this military alliance,NATO
"This game similar to the game ""Go"" has a Shakespearean name & uses black & white disks",Othello
Some people compare happiness to being on this number cloud,9
"Some call them nuggets or tenders, but strips of chicken can also have this ""handy"" name",chicken fingers
"The name of this Asian country means ""Land of the Free,"" so it's not surprising that it's never been colonized",Thailand
This prefix turns 1 byte of data into about a billion,giga-
"Clare of Assisi, whose miracles saved her city from destruction twice, died in 1253 & became one of these in 1255",a saint
"Hayden Panettiere, seen here, is virtually indestructible on this NBC show",Heroes
"San Jose State University's Beethoven Center has brown, grey & white strands of this that once grew on Ludwig",hair
"In ""The Lion, the Witch and the Wardrobe"", Lucy peers into an old wardrobe & discovers this magical land",Narnia
The flag seen here has been used by this European kingdom since 1801,United Kingdom
"The 1906 quake named for this city had a magnitude of 7.9; more than 28,000 buildings lay in ruins",San Francisco
"Margaret Spelling, seen here, is the first mom with kids in school to serve as U.S. Secretary of this",Education
"This ""Malcolm in the Middle"" star voiced the abandoned zebra stripes in ""Racing Stripes""",Frankie Muniz
A dollar dated 1804 made of this metal is now worth over a million dollars,silver
"Snipp, Snapp & Snurr, who star in a series of books, are brothers from this Scandinavian country",Sweden
This world-famous artwork seen here was painted around 1505,"""Mona Lisa"""
"The second-most populous city in the nation, it's more than 450 square miles in area",Los Angeles
An age when Shakespeare wrote & England gained power is named for this queen,Elizabeth I
"This ""Harry Potter"" actress made history in 2005 as the youngest ever to grace the cover of Teen Vogue",Emma Watson
"An 1868 one of these showing Ben Franklin is worth millions, as only 2 still exist",a stamp
"In the Grimm tale ""The 12 Dancing Princesses"", 12 sisters dance so much that they wear out these every night",their shoes
We get a kick out of this international sports star seen here,(David) Beckham
"The falls that bear the name of this national park plunge 2,425 feet down a rock wall",Yosemite
"(Sarah of the Clue Crew reports from the National Geographic Society's Explorer's Hall.) I'm at the National Geographic Society's Explorer's Hall in the cockpit of a Lockheed Electra, like the one that vanished with this woman who was trying to fly around the world in 1937",Amelia Earhart
"On a Nick show, Lil' JJ plays a 15-year-old known as ""just"" him",Jordan
"Odyssey Marine Exploration will sell you a $2,500 pickle bottle found on one of these from 1865",a ship
This orphan befriends a goatherd named Peter when she's sent to live with her grandfather in the Swiss Alps,Heidi
Seen here is a member of this branch of the U.S. military in dress uniform,The Marines
This desert region whose name sounds a bit morbid contains the lowest point in the U.S.,Death Valley
"She's the Brontë sister who wrote ""Wuthering Heights""",Emily Brontë
"She appeared in ""Santa Clause 3"" with brother Spencer before being nominated for an Oscar at age 10 in 2007",Abigail Breslin
(Jimmy of the Clue Crew reads the clue.) This stone owes its distinctive color to small amounts of chromic oxide,an emerald
"She's the title heroine ""Of Green Gables"" in a classic 1908 book",Anne
More than three billion people have flown in the type of plane seen here that bears this numerical designation,a Boeing 747
"This city really must be the Magic Kingdom! Here, Ducks become champions of pro hockey",Anaheim
"It was first given a scientific name meaning ""flat-footed duck""; it was later given one meaning ""birdlike snout""",a platypus
"Luxembourg's is ""Uns Heimat"", which means ""Our Homeland""",National Anthem
"The musical group ""The Bedrock Rockers"" was featured in a comedy hour named for this cartoon family","""The Flintstones"""
"If this tall tropical bird stops eating certain algae, its pinkish feathers will turn white",Flamingo
"The name of this artistic composition of  materials pasted to a surface comes from the Greek ""kolla""",Collage
"When this man died in 1969, Ton Duc Thang, his vice-president, became president of North Vietnam",Ho Chi Minh
"From old French meaning ""to dine"", it's the chief meal of the day",Dinner
"""Nyandete"", whose name is Guarani for ""spider web"", is a type of this delicate open-work fabric made in Paraguay",Lace
He was the Jetsons' family dog,Astro
These crustaceans that cling to ships & wharves also attach themselves to whales,barnacles
Morocco is one type of this material used in bookbinding,Leather
"Estimates of when these people abandoned the city of Uxmal range from 600 to 1,000 years ago",Mayans
"A threat, like Dennis Mitchell",Menace
You'll find the original Hard Rock Cafe on Old Park Lane in this capital city,London
"After years as the movies' No. 1 son, Keye Luke finally played this detective in a cartoon series",Charlie Chan
It's the term for the organism on which a parasite lives & feeds,Host
Pottery usually undergoes this heating process twice in the biscuit & glaze stages,Firing
Peter the Cruel & Joan the Mad ruled this Spanish kingdom sometimes paired with Leon & Aragon,Castille
"It's a shrill cry, made by a chicken after laying an egg",Cackle
Greenland has two official languages:  Greenlandic & this,Danish
"A Tarzan spoof, this tree-swinger had a pet elephant named Shep","""George of the Jungle"""
"Made up of a filament & anther, this male organ of a flower varies in number from zero to hundreds",Stamen
This material used for making baskets comes from the core of the rattan palm,Cane
In 1935 the Saar territory was reunited with this country,Germany
This metal pot with a lid can be used to make stew or brew tea,Kettle
"Island country whose capital, Valletta, is named for a grandmaster who led the knights in 1565",Malta
"This superhero team consisted of Reid Richards, The Invisible Girl, The Human Torch, & The Thing","""The Fantastic Four"""
"It's any tailed amphibian,including the newt",Salamander
"Stumpwork, cutwork, and crewelwork are varieties of this textile art",Embroidery
Juan Vincente Gomez was dictator of this South American country in 1918 when it first exploited its oil,Venezuela
This disease caused by a lack of vitamin C is characterized by bleeding gums & extreme weakness,Scurvy
"On May 11, 1862, this Confederate ironclad was blown up by Confederate States of America troops when the North approached Richmond",Merrimack
An ancient Egyptian who had a sweet tooth would reach for honey or this palm fruit,Date
"William Wordsworth wrote, ""My heart leaps up when I behold"" one of these colorful arches ""in the sky""",a rainbow
The flat-top is a variation of this militaristic cut: it's squarer on top,Crew Cut
Vineyard Sound separates Martha's Vineyard from the southernmost part of this cape,Cape Cod
Sir Thomas More is beheaded in the last scene of this Robert Bolt play,"""A Man for All Seasons"""
"On September 7, 1864, this Union commanding general entered Atlanta",William Sherman
Egyptians began riding around in these horse-drawn vehicles during the reign of the Hyksos,Chariots
"""New Hampshire"", a poem with notes & grace notes, earned this poet the first of his four Pulitzers",Robert Frost
"A wedge-cut of the late '70s was named for this female skater, who popularized it at the Olympics",Dorothy Hamill
"Rivers flowing into this bay include the Susquehanna, James, & Rappahannock",Chesapeake Bay
"""American Buffalo"", the title of a David Mamet play, refers to the buffalo on one of these coins",Nickel
"At the end of the war, Lincoln assigned this battlefield nurse the task of identifying missing soldiers",Clara Barton
"Egypt's capital during the Old Kingdom; its original name meant ""The White Wall""",Memphis
"In 1971, a copy of his original manuscript for  ""The Wasteland"" was published, with an introduction by his widow",T.S. Eliot
"During World War II, many women wore this shoulder-length style with the ends curled under from ear-to-ear",Page Boy
It's the state in which you'd find Suwannee Sound,Florida
Sula & Helena are robotesses in this Karel Capek play,"""R.U.R."""
"Nicknamed ""Fighting Joe"", he replaced Ambrose Burnside as commander of the Army of the Potomac in 1863",Hooker
Biban Al Mullak is the Arabic name for this famous burial site in western Thebes,Valley of the Kings
"After writing about ""The Wreck of the Hesperus"", he wrote ""The Building of the Ship""",Henry Wadsworth Longfellow
"From Middle French for ""chain"", it's a knot or coil of hair worn at the back of the head or neck",a chignon
George Vancouver named this Washington state mountain for a friend in the British navy,Mt. Rainier
"It's the town in ""Our Town""","Grover's Corners, New Hampshire"
"This battle named for a Tennessee church was the first in the Western Hemisphere to engage 100,000 men",Shiloh
"In early Egypt, the king's chief minister held this title that the Ottomans made grand",wazir
"In an Edna St. Vincent Millay poem, ""My candle burns at both ends; it will not"" do this",Last the Night
In China it was once popular for men to shave their front hair & comb the back hair into this long braid,Queue
It's the only Great Lake not bordering the state of Michigan,Lake Ontario
"The ghost of this great ruler, Xerxes's father, appears in Aeschylus's play ""The Persians""",Darius The Great
"Under an act passed in 1958, they became the first two former presidents eligible for a pension",Harry S. Truman & Herbert Hoover
He's the performer seen here [AKA Ehrich Weiss],Harry Houdini
Cal Ripken broke this man's consecutive -games record,Lou Gehrig
"Jamaicans combine salt fish with ackee, a fruit introduced to the island as part of this captain's ""bounty""",William Bligh
"The cuttlefish hides 2 ways: it can camouflage itself like a chameleon, or hide behind a cloud of this",Ink
In the 19th century enterprising Americans first added sleeping & dining cars to these,Trains
The relatives come from all over the country to celebrate this ceremony of a Jewish boy becoming a man,Bar Mitzvah
River seen here before the building of the Hoover Dam,Colorado River
"""Knick Killer"" seen here",Reggie Miller
"Derby cheese, which originated in this country, is sometimes flavored with sage",England/Great Britain
Having 4 large pairs of these makes the fruit fly a favorite subject for geneticists,Chromosomes
"Coroebus of Elis was the first winner in the first of these games; he won the only event, a sprint, in 776 B.C.",Olympics
It's the common name for a generational chart of ancestry,Family tree
"Site of the historic attack seen here [December 7, 1941]",Pearl Harbor
"Ali's opponent in the ""Rumble in the Jungle""",George Foreman
"European chefs cook the young foliage of this stinging plant, urtica dioica, like spinach",Nettle
"A silvery food fish, or to heat ore in order to extract metal",Smelt
"Of 3 minutes, 3 hours or 3 days, it's about how long the first woman in space stayed there",3 days (Valentina Tereshkova)
"In modern times a woman may keep using hers, or link it with a man's by a hyphen",Maiden name
Richard Byrd is seen here preparing to visit this geographic extreme,South Pole
Agassi won it in '99 for a career Grand Slam,French Open
"This German dish whose name means ""hare pepper"" is often served with sour cream",Hassenpfeffer
"In rhyme, the bells of St. Clement's speak of these 2 fruits that'll help prevent scurvy",Oranges & lemons
Tea & rice wine were first drunk in this country,China
It's the term for the payments made after a divorce for the upkeep of the kids,Child support
This president is seen here with his camera-shy wife Ida,William McKinley
"Bobby's son, he scored 86 goals in a season",Brett Hull
Legend says this smoked haddock dish came from the Scottish fishing village of Findhorn,Finnan haddie
"Unlike most of its pine family relatives, the larch is classified as this, as it loses its needles each fall",Deciduous
"The first group to sell a million records were these ""Glow Worm"" brothers with ""Tiger Rag"" in 1930",The Mills Brothers
A domicile in which parents raise kids not their own; Stephen's was an old Kentucky one,Foster home
"""Tevye the Dairyman"", published beginning in 1894, inspired this Broadway & movie musical",Fiddler on the Roof
