Question,Answer
"Nicknamed ""The Iceman"", this basketball legend was inducted into the NBA Hall of Fame in 1996",George Gervin
President Truman visited Washington state in May 1950 to rededicate this large dam,Grand Coulee Dam
"He wrote ""Public Speaking and Influencing Men in Business"" several years before his more famous book",Dale Carnegie
Armed Services Committee head Carl Vinson was the first living American for whom the government named 1 of these,ship/aircraft carrier
The first word in I Chronicles is this man first mentioned in Genesis 2:19,Adam
"(Sarah of the Clue Crew stands between two trees, holding binoculars.) It's the style of clothes I'm wearing or the type of expedition I'm gearing up for",safari
Submarines have fixed tubes in the bow to shoot these underwater weapons,torpedoes
"The first movie with a plot was filmed in 1903 & concerned the ""great"" robbery of one of these",a train
This company introduced its Trac II twin-blade razor in 1971 & the good news disposable razor 5 years later,Gillette
Tyrone Willingham is the first African-American football coach to lead this school's Fighting Irish,Notre Dame
In Exodus the Lord told Moses to make a laver of brass for Aaron & his sons to wash their hands & these in,their feet
Better have a breath mint after eating this Italian-named dish of shrimp sauteed in garlic & butter,scampi
"If a surfer rides the tube in London, he's on this",the subway
"City that was home to the USA's first boat club & organized baseball team, both named Knickerbocker",New York
"Originally, this bread built strong bodies 8 ways; later the count went up to 12",Wonder Bread
"To this longtime Packers coach, winning wasn't everything; it was the only thing!",Vince Lombardi
"Upright man who moaned, ""Naked came I out of my mother's womb and naked shall I return thither""",Job
Stephen S. Wise was a well-known one; Isaac Bashevis Singer was the son of one,a rabbi
Every little breeze seems to whisper the name of this first test tube baby,Louise (Brown)
In 1901 X-ray discoverer Wilhelm Roentgen became the first recipient of a Nobel Prize in this category,Physics
In 1984 this TV ratings service was acquired by Dun & Bradstreet,Nielsen ratings
"He was NBA coach of the year 3 times in the 1990s with the Lakers, Knicks & Miami Heat",Pat Riley
"I Kings uses ""slept with his fathers"" as a euphemism for this",died
Don't be shy now; they're the colorful pond fish seen here,koi
The gas-filled Geissler tube of the late 1850s was adapted for use in these advertising signs,neon signs
"It's been ""cataloged"" as the first skyscraper over 1,400 feet in height",the Sears Tower
"Henry Wells & William Fargo co-founded this company known for its credit card; ""Don't leave home without it""",American Express
"The all-time winningest NHL coach in regular season & playoffs, he's coached the Detroit Red Wings since 1993",Scotty Bowman
"Saul wanted to give his eldest daughter Merab to this future king, but Michal, another daughter, loved him",David
Drumroll please... it's another name for a set of kettledrums,timpani
"Like you, a frog has this tube connecting the middle ear & the throat",the Eustachian tube
"In 1891 Samuel O'Reilly turned Edison's electric engraving pen into the first electric machine to make these, sailor",tattoos
In 1946 this brand came in as the first laundry detergent to have a phosphate compound as a water softener,Tide
"He's one of the few men to win a Super Bowl as a player, as assistant coach & as head coach of the Bears in 1986",Mike Ditka
Crockett represented this state for 3 terms in the U.S. Congress,Tennessee
"In 2001 she denied reports of a $20 million offer to reprise her role as Ripley for ""Alien 5""",Sigourney Weaver
Robert Yerkes developed 2 intelligence tests: the Alpha exam for the literate & this one for the not,the Beta
Robert Louis Stevenson drew a map with his 12-year-old stepson that inspired him to write this story,Treasure Island
Nebraska Wesleyan: in this state capital,Lincoln
Raisins & currants are traditional ingredients in this sometimes re-gifted Christmas treat,fruit cake
In 1818 Crockett was elected to this rank in the Fifty-seventh Militia Regiment in Lawrence County,a colonel
"Born in NYC in 1955, this Oscar winner has played a thief, a nun, a psychic & an intergalactic bartender",Whoopi Goldberg
"Since 1992 Alpha Oumar Konare has been president of this African country whose name is an anagram of ""mail""",Mali
This title character releases 2 jinns: The Slave of the Ring & The Slave of the Lamp,Aladdin
Where the peachtrees grow: Georgia State,Atlanta
It's another name for a hydrant; a stocky person is said to be built like one,fireplug
Some believe that Crockett & a few others survived the battle of the Alamo but were executed by this Mexican general,Santa Anna
"Rita Hayworth, Marilyn Monroe & Raquel Welch (in poster form) help Tim Robbins escape prison in this 1994 film",The Shawshank Redemption
In the 1830s Thomas Henderson established the parallax of this triple star about 4.3 light years away,Alpha Centauri
A huntsman cuts open this creature's stomach to rescue Little Red-Cap & her grandmother,the Big Bad Wolf
In northeastern Illinois: Northeastern Illinois,Chicago
"If you really don't know, you don't even have this damp type of ""notion""",foggiest
"It completes Crockett's personal motto ""Be always sure you're right and then"" do this","""go ahead"""
"""Don't Look Now"", ""Darling"", but this beauty gave one of her finest performances in ""McCabe and Mrs. Miller""",Julie Christie
"Henry Callis & others founded Alpha Phi Alpha, the first black college fraternity, at this Ithaca, N.Y. school",Cornell
Dodie Smith wrote this 1956 classic doggy tale,The Hundred and One Dalmatians
360 years old: Yale,New Haven
Jetsam means goods jettisoned to lighten a ship; this word refers to part of a wrecked ship found floating,flotsam
"Until his re-election defeat in 1835, this party was grooming Crockett to run against Andrew Jackson in 1836",the Whig party
"(Sarah of the Clue Crew reports from Washington, D.C.) In ""The Exorcist,"" Jason Miller as this priest falls down the steps here, now known as ""The Exorcist Steps""",Father Damien Karras
"This innovative French director ventured into science fiction with 1965's ""Alphaville""",Jean-Luc Godard
"She wrote the children's classics ""Little Lord Fauntleroy"" & ""The Secret Garden""",Frances Hodgson Burnett
At the mouth of Chesapeake Bay: Old Dominion,Norfolk
"You can visit this region's ""fields"" in Belgium; France's Nord province; & the Netherlands' Zeeland province",Flanders
He was the last president to take the oath of office from someone other than the Chief Justice of the U.S.,Lyndon Johnson
During World War II this company invented an infrared filter; the instant cameras came later,Polaroid
Scitrek is the science and technology museum of this Georgia capital,Atlanta
"This ""Kickboxer"" star was a champion in the European Professional Karate Association",Jean-Claude Van Damme
This 1803 territorial acquisition gave the U.S. free navigation of the Mississippi River,Louisiana Purchase
This little Roman love god performs his matchmaking job with a bow & arrow,Cupid
"Made with eggs, cheese & other fillings in a pastry shell, it's what real men don't eat",Quiche
"Made of bronze in Biblical times, today they're often glass with a backing of a silver solution",Mirrors
You can ride a real trolley at the Seashore Trolley Museum in Kennebunkport in this state,Maine
"His ""Streets of Philadelphia"" won him 4 1994 Grammys, including Song of the Year & Best Male Rock Vocal",Bruce Springsteen
At age 26 Jonathan Dayton of New Jersey was the youngest signer of this 1787 document,The Constitution
The Munchkins toiled as slaves for this woman until a house fell on her,The Wicked Witch of the East
"Five of a kind siblings, like the Dionnes",Quintuplets
"At the bottom of the Encarta article on this device are links to ""optics"" & ""submarine""",Periscope
Bill Clinton may know there's an oil and brine museum in Smackover in this state,Arkansas
In 1996 this strikeout king became the first player to have his uniform number retired by 3 teams,Nolan Ryan
"On December 6, 1976 this congressman was chosen to replace Carl Albert as Speaker of the House",Tip O'Neill
"To find a leprechaun, follow the tapping of his hammer as he busies himself making these",Shoes
It's the term for the result when you divide one number by another,Quotient
"Segments for reading, intermediate & distance make up this type of eyeglass lens",Trifocals
"Naples in this state is home to Frannie's Teddy Bear Museum, which boasts more than 1,500 bears",Florida
"Guitarist Richie Sambora of this group co-wrote Cher's hit ""We All Sleep Alone""",Bon Jovi
In 1973 L. Patrick Gray resigned as head of this agency because he destroyed Watergate records,FBI
"In the ""Dilbert"" comic strip, he's the evil director of human resources",Catbert
He wanted to ring Esmeralda's bells,Quasimodo
"Fujitsu, NTT & Bell Labs have sent data down a strand of this at a rate of 1 trillion bits per second",Optic fiber
"If you're crazy about quilts, you'll enjoy the New England Quilt Museum in Lowell in this state",Massachusetts
"Pharaoh, Levi & Reuben are characters in this 1973 Andrew Lloyd Webber-Tim Rice musical",Joseph And The Amazing Technicolor Dreamcoat
"Successor to the Manhattan Project, this agency, the AEC, was established in 1946",Atomic Energy Commission
"Describing his job, this Shakespearean sprite says, ""I jest to Oberon and make him smile""",Puck
"Legally speaking, this Latin phrase means ""something for something""",Quid pro quo
"Benjamin Franklin ""Beast"" Butler was dismissed in 1862 as military governor of this Louisiana city",New Orleans
"This ""Messiah"" composer's 1735 opera ""Alcina"" was based on the epic poem ""Orlando Furioso""",G.F. Handel
These birds are called homers for short,homing pigeons
"""Edelweiss"" from ""The Sound Of Music"" was the last song they wrote together",Rodgers & Hammerstein
An airport in the coastal city of Callao serves this Peruvian capital,Lima
Buck has unfamiliar yearnings & stirrings when he hears it,The Call of the Wild
"During Leonard Wood's 1899-1902 term as military governor of Cuba, this disease was brought under control",Yellow fever
"Pietro Mascagni wrote his 1935 opera ""Nerone"" to glorify this dictator",Benito Mussolini
The African gray species of this talkative bird is a popular pet,Parrot
"In early 1996 they celebrated their 15,000th live performance: [video clue]",Siegfried & Roy
Avenida 18 de Julio runs through the main business district of this Uruguayan capital,Montevideo
It's a bloody head wound from being struck with a rifle butt,The Red Badge of Courage
Term for the military governor of Japan; the last one resigned in 1867,Shogun
"Act I of this composer's ""Don Giovanni"" features the famous ""Champagne Aria""",W.A. Mozart
These birds that return to San Juan Capistrano in March are of the cliff variety,Swallows
"Born of Chinese parents in 1811, they died in 1874, having literally lived their whole lives together",Chang & Eng Bunker (Siamese twins)
This city just south of the Equator is the oldest of all South American capitals,"Quito, Ecuador"
"Kill an old lady pawnbroker, get sent to Siberia",Crime And Punishment
He was military governor of Judea 26-36 A.D.,Pontius Pilate
"This Leoncavallo opera ends with the words ""La commedia e finita"" -- ""The comedy is ended""",Pagliacci
"You win the ""prize"" if you know this seabird was named for its stupidity in being easily caught",Booby
This British pair won 4 consecutive ice dancing world championships 1981-84,Torvill & Dean
Juscelino Kubitschek de Oliveira was the leader of the 1950s movement to build this capital,Brasilia
Al Manheim wonders this about an eager kid named Glick,What Makes Sammy Run?
"Appointed military governor of this Canadian city in 1760, Thomas Gage was made a major general in 1761",Montreal
"Like ""Carmen"", Prokofiev's opera ""The Duenna"" takes place in this Spanish city",Seville
This standard encyclopedia first issued in 1912 was named for a pair of Lutheran ministers,Funk & Wagnalls
"Fueled by the oil industry, this capital has sprawled into the state of Miranda","Caracas, Venezuela"
Philip Marlowe isn't ready to say it to his friend Terry Lennox,The Long Goodbye
"Before the Monitor, John Ericsson designed a screw-driven steamboat & named it for this ancient Greek",Archimedes
"The state dog of Massachusetts is the ""Boston"" this",terrier
1989: Robin Williams inspires his prep school students to discover Whitman & Tennyson,Dead Poets Society
"Cottage cheese comes in small, medium & large sizes of this dairy substance",curd
Fred Morrison came up with the idea for the Frisbee & sold it to this company in 1955,Wham-O
It's a notice of dismissal from a job,pink slip
"Each engine of a 747 generates over 43,000 pounds of this force",thrust
"In a Boston-set sitcom, they were paired with ""a Girl & a Pizza Place""",Two Guys
1955:  Idealistic Glenn Ford tries to reach troubled students like Sidney Poitier,Blackboard Jungle
"Yogurt is made by curdling milk with purified cultures of these, like Streptococcus thermophilus",bacteria
The work of Marion Donovan (a mom) & Victor Mills (a grandpa) made these disposable,diapers
"""Love Story"" author Erich Segal helped with the script for this Beatles film",Yellow Submarine
"A strong motion accelerograph, a type of this device, records shaking too strong for sensitive ones",seismograph
Boston's Freedom one begins near the frog pond in Boston Common,Freedom Trail
"1967: Idealistic Sidney Poitier teaches rough East Enders, earns respect & a song from Lulu","To Sir, with Love"
This process uses moderately high temperatures for a short time to kill microorganisms in milk,pasteurization
George Ballas invented the powered plant-cutting tool known by this alliterative name,Weed Whacker
"Members of the U.S. Army special forces are also called this, from part of their uniform",Green Berets
(Sarah of the Clue Crew at the Science Museum of Minnesota)  Movement of the ocean floor can cause these fearsome waves with a Japanese name,tsunamis
"In the Boston area, U.S. Interstate 90 is also known as this type of road",turnpike
1987: Edward James Olmos' students from the East L.A. barrio pass the A.P. calculus exam & are accused of cheating,Stand and Deliver
Ghee is a clarified form of this,butter
"Unaffected by magnetic fields, Elmer Sperry's gyroscopic type of this device even worked at the North Pole",compass
"To go out & celebrate boisterously, particularly by hitting bars & other nightspots",to paint the town red
"In a car, the reciprocating, or up-&-down, motion of these is changed to rotary motion in the wheels",pistons
"In a kids' book, this young Boston Johnny-on-the-spot becomes a messenger for the Sons of Liberty",Johnny Tremain
1995: Marine vet Michelle Pfeiffer uses unorthodox methods to teach inner city kids,Dangerous Minds
A special lowfat milk has a reduced content of this milk sugar that is hard for some people to digest,lactose
"Mr. Alter, who designed a type of catamaran or ""cat"", goes by this first name",Hobie
"Originally, it was a tribute paid by English & Scottish farmers to freebooters for protection from harassment",blackmail
"(Jimmy of the Clue Crew paddling a kayak)  From the Latin for ""to twist"", this causes a kayak to rotate in the opposite direction from the side of a stroke",torque
"While he wrote a lot of poems, ""Doctor Zhivago"" was his only novel",Boris Pasternak
