Question,Answer
"В 2003 году эта авиакомпания согласилась купить KLM, создав крупнейшую в Европе авиакомпанию.",Авиа Франс
"Филадельфия была основана как колония для этой религиозной группы, членом которой был Уильям Пенн.","Разговорный язык: ru

### Explanation:
The Quakers (also known as Friends) are a Christian denomination that arose in England during the 17th century. The name ""Quaker"" is derived from the phrase ""quaking worship"", meaning ""trembling worship"". It was given to them by their enemies because of the religious fervor and emotionalism displayed in their meetings, which were characterized by silent waiting upon God, followed by vocal prayer."
Данная «современная девушка» впервые попала в топ-10 чарта Billboard с песней «Утренний поезд (девять до пяти)».,Сheena Иaston
"Это жесткая шелковая ткань предпочитается для свадебных платьев, как у Кристины Апплгейт в 2001 году.","Орга́нза (англ. Organza) — тонкая, прозрачная ткань из хлопка или шелка, с гладкой поверхностью и плотной структурой."
"<p><em>Где-то между правдой и вымыслом лежит реальность Марко… на Хэллоуине, вы не поверите, что увидели это здесь.</em></p>",Мульберри Стрит
"В 2004 году United запустил новый сервис, который включает в себя низкие цены и больше мест на самолете.",Тед
"Вступлением Марии в 1553 году он бежал в Женеву, вернулся в 1559 и реформировал церковь Шотландии.",Джон Нокс
"Этот трек группы ""Train In Vain"" был скрытым на оригинальном альбоме 1979 года ""London Calling"".",The Clash
"Санно-бобслей - это вид спорта, который иногда обозначается двумя буквами, такими же, как те, которые используются для обозначения 90 в римских цифрах.",XС
<p><em>500 шляп.</em> 500 способов умереть.  На 4 июля этот мальчик бросит вызов королю... и станет легендой.</p>,Бартоломью Куббинс
"В кармане сиденья вы найдете каталог под названием «Скай», в котором есть необходимые вещи, такие как солнечный зонтик на патио.",Молл
В 1534 году он и его друг Франциск Ксавьер основали Общество Иисуса.,Лойола Игнатий
В 1961 году Джеймс Браун объявил «все на борт» для этого поезда.,"""Ночь поезд"""
"Этот интрига 1797 года начался, когда три французских агента потребовали огромную взятку от американских дипломатов.","Высокая честь, господин президент!
Я хочу выразить Вам мою признательность за то, что Вы пригласили меня на встречу. Я очень рад возможности поговорить с Вами лично и обсудить вопросы, которые касаются нашей страны.
Вы знаете, что мы всегда были дружественными соседями. Мы никогда не имели никаких проблем в отношениях между нашими странами. Я хочу сказать, что я очень рад возможности поговорить с Вами лично и обсудить вопросы, которые касаются нашей страны.
Я знаю, что Вы всегда были дружественными соседями. Мы никогда не имели никаких проблем в отношениях между нашими странами. Я хочу сказать, что я очень рад возможности поговорить с Вами лично и обсудить вопросы, которые касаются нашей страны.
Я знаю, что Вы всегда были дружественными соседями. Мы никогда не имели никаких проблем в отношениях между нашими странами. Я хочу сказать, что я очень рад возможности поговорить с Вами лично и обсудить вопросы, которые касаются нашей страны.
Я знаю, что Вы всегда были дружественными соседями. Мы никогда не имели никаких проблем в отношениях между нашими странами. Я хочу сказать, что я очень рад возможности поговорить с Вами лично и обсудить вопросы, которые касаются нашей страны.
Я знаю, что Вы всегда были дружественными соседями. Мы никогда не имели никаких проблем в отношениях между нашими странами. Я хочу сказать, что я очень рад возможности поговорить с Вами лично и обсудить вопросы, которые касаются нашей страны.
Я знаю, что Вы всегда были дружественными соседями. Мы никогда не имели никаких проблем в отношениях между нашими странами. Я хочу сказать, что я очень рад возможности поговорить с Вами лично и обсудить вопросы, которые касаются нашей страны.
Я знаю, что Вы всегда были дружественными соседями. Мы никогда не имели никаких проблем в отношениях между нашими странами. Я хочу сказать, что я очень рад возможности поговорить с Вами лично и обсудить вопросы, которые касаются нашей страны.
Я знаю, что Вы всегда были дружественными соседями. Мы никогда не имели никаких проблем в отношениях между нашими странами. Я хочу сказать, что я очень рад возможности поговорить с Вами лично и обсудить вопросы, которые касаются нашей страны.
Я знаю, что Вы всегда были дружественными соседями. Мы никогда не имели никаких проблем в отношениях между нашими странами. Я хочу сказать, что я очень рад возможности поговорить с Вами лично и обсудить вопросы, которые касаются нашей страны.
Я знаю, что Вы всегда были дружественными соседями. Мы никогда не имели никаких проблем в отношениях между нашими странами. Я хочу сказать, что я очень рад возможности поговорить с Вами лично и обсудить вопросы, которые касаются нашей страны.
Я знаю, что Вы всегда были дружественными соседями. Мы никогда не имели никаких проблем в отношениях между нашими странами. Я хочу сказать, что я очень рад возможности поговорить с Вами лично и обсудить вопросы, которые касаются нашей страны.
Я знаю, что Вы всегда были дружественными соседями. Мы нико"
"Объекты, которые проходят ближе к солнцу, чем Меркурий, были названы в честь этого мифологического персонажа.",Икар
Это самый большой королевство в Соединенном Королевстве,Россия
"""Парти в США"" - это певец, который также играет молодую леди по имени Ханна",Мили Сирс
"Примерно так: Если эта часть персика пушистая или пушистая, то фрукт называется персиком; если он гладкий, нектарин.",the skin
4 х 12,48
"В этом глаголе для бросания баскетбола звучит, как будто ты слюнявишься.",Дриблинг
Пульсометр,Сердце
"<p>Тейт: Я Тейт Шаффер на борту <i>National Geographic Endeavour</i>.  Алекс: И...</p>  Мы здесь в Галапагосских островах при нулевой широте, что означает, что мы прямо над этой воображаемой линией, которая идет по всему миру",Экватор
"""Всем остальным"" известно, что эти игрушки-гуглы предшествуют ""На огне"" в названии топ-30 группы радио Диснея; знаешь ли ты?",Добрые медведи
Перевод текста с английского на русский: Плоды персика содержат более чем на 80% этого соединения.,Вода
7 x 7 x 2,98
"Навигация и радиолокационное обнаружение - полное название для этого устройства, которое отражает радиоволны под водой.",Сонар
"Миниатюрная, тонкая ракета, брошенная на доску в игре",a дарт
Остров в южной части Тихого океана назван в честь дня его открытия — религиозного праздника.,Рождественский остров
"""Песни на 'Under My Skin' глубже, чем те, что на 'Let Go', - сказал этот канадец на сайте радио Диснея"".",Аврил Лавинь
Плод (плод),Камень
3 х 4 х 5 х 6,360
"В этой детской игре вы бросаете маленький резиновый мяч, собирая металлические предметы с шестью зубцами.",Джекс
"Вы - помощник, который переводит текст с английского на русский.","a part

### Explanation:
The translation is correct, but it's not complete. The sentence should be translated as follows: ""A part of the money was spent on buying new equipment."""
Партии аравийской и ливийской пустынь находятся в этой африканской стране.,Россия
"""Я никогда не говорил тебе"", этот всеiterative name singer hit Disney's Top 30 с ""Fallin 'For You""; ожидаю, я только что сделал",Колби Кайлат
"Эти части апельсинового дерева блестящие зеленые, острые и ланцетовидные.",leaves
5 х 10 х 15,Семьсот пятьдесят
"Он является типом баунса или танца, сделанного знаменитым Майклом Джексоном.",Планетарный шаг
<p>Графическая представление информации</p>,a таблица
"Документы, которые вы написали для школы, могут включать в себя въезд в США на этом острове в Нью-Йоркской бухте",Эллис-Айленд
"Риан Тэддер, вокалист этой группы, имеет «Все правильные движения»",OneРепублика
Эти части персикового дерева растут на узлах вдоль побегов прошлогоднего роста; они обычно розовые.,"Весна, цветы, солнечный свет, ветер, лес, море, птицы, звери, люди..."
2 х 1035,2070
"Это устройство, чье имя происходит от итальянского слова «прыжок», было совершенно в 1930-х годах.",Перевод текста с английского на русский: а трамплин
Composer Wolfgang Amadeus Mozart,Моцарт
"В этой части находится 99,95% массы атома",nucleus
"Парк Вид Чула Виста, Калифорния победил Тайбэй 6-3 и выиграл этот турнир в 2009 году.",Лига Малышей
"В этом герое нескольких книг одиннадцать, когда он обнаруживает, что он волшебник.",Гарри Поттер
"Скажите, какое это моллюск?",Осьминог
А землетрясение магнитудой 7 баллов в этой стране Карибского моря 12 января 2010 года привело к потоку помощи со всего мира.,Гаити
"Она носит плиссированную юбку с четырьмя лампами, которую носят мужчины в Шотландии.",Кильт
В процессе фотосинтеза углекислый газ и вода с помощью световой энергии соединяются для создания кислорода и глюкозы.,photosintetiches
"Пиха-Бич (англ. Piha Beach) — пляж в Новой Зеландии, расположенный на берегу Тихого океана в регионе Хайлендс. Пляж известен своими высокими волнами и отличной погодой для серфинга. В 2010 году здесь проходили соревнования по серфингу среди юниоров.",Плавание на волнах
"В этом городе, который является центром округа Кларк в штате Невада, город называют «столицей развлечений мира».",Лас Вегас
"Скажите это государство, которое было принято в Союз в 1859 году",Орегон
Этот автомобильный концерн попал в новости из-за широкомасштабных отзывов своих моделей Corolla и других.,Toyota
"В качестве прилагательного это может означать правильный; как глагол, «оценивать работы»",The translation is correct.
"Великий угол - это адаптация простой машины, называемой наклонной этой.",plane
"Дэвид Мозели сделал мощный прыжок на 5'1"" и установил рекорд США в этом виде спорта в 1977 году.",Высокий прыжок
"<p><img src=""http://www.j-archive.com/media/2010-07-06_DJ_14.jpg"" alt=""This dog breed seen here is a loyal and protective companion""></p>",Германский шпиц
"Скажите имя этого <a href=""http://www.j-archive.com/media/2010-07-06_DJ_28.jpg"" target=""_blank"">бага</a>; не волнуйся, он не дышит огнем",Дракончик
"<p>Для того чтобы не распространять микробы и возможно грипп, мы узнали о скрежете зубов, названном в честь этого персонажа, который прославился в 1897 году.</p>",Дракула
Мяг - это другое слово для этого,corn
От всех шести благородных газов в периодической таблице он является самым легким.,helium
"Ашлин Уайт, 11 лет, выиграла титул чемпиона США в этом боевом искусстве, где вам нужно пытаться сбросить своего противника.",Дзюдо
"В 1751 году Пенсильванская провинциальная ассамблея разместила заказ на этот символ свободы, теперь в Филадельфии.",the Liberty Bell
"Скажите имя этих больших деревьев, в нем есть цвет",Дерево красное
В неожиданном исходе сенаторское кресло Теда Кеннеди в этом штате перешло к республиканцу на выборах в январе 2010 года.,Массачусетс
"В этом слове для того, кто ходит, происходит от латинского слова «нога».",ПЕДЕСТРИАН
"Лава и магматические породы образуются из этого горячего жидкого горного материала, найденного под земной корой.",magma
Этот вид спорта имеет чемпионат мира среди игроков до 17 лет каждые два года; Харис Сеферович играл за чемпионов Швейцарии в 2009 году.,Софтбол
Он старший сын принца Чарльза и покойной принцессы Дианы.,Принц Уильям
"Скажите имя этого человека, который вы видите, пожав руку премьер-министру Китая",Рональд Рейган
"Фалькон Хине, который оказался в безопасности дома, а не летал над Колорадо, стал известным как этот «мальчик»",the balloon boy
"Каяк - это пример этого, слово, которое читается одинаково вперед и назад.","Разночтение (от англ. palindromic — «отражающийся») — слово или группа букв, которые одинаковы в любом направлении чтения."
"Она родилась в Вирджинии около 1596 и умерла в Кенте, Англия в 1617.",ПОКАХОНТАС
Премьер-министр Тони Блэр назвал ее «Народной принцессой»,Принцесса Диана
"Лишь однажды Томми Маллани на «Право Лос-Анджелеса», Джон Спенсер теперь играет главного помощника Белого дома Лео Макгарри в этой серии.",Двери Запада
The Cinderella Castle Mystery Tour is a highlight of this Asian city's Disneyland,Токио
"Этот рок-н-ролльщик, который слышится здесь, имел много хитов по обе стороны Атлантики.",Билли Идол
"""Конрад начинает (и заканчивает) путешествие Марлоу... на Темзе, на яле, Нелли"", - говорится в предисловии к этому роману.",Сердце тьмы
"Мы будем выглядеть умно в этих транспортных средствах, которые вернулись в Лондон в 1999 году.",Трамваи (умные)
"She was ""The Untamed Heifer"" и ""The Virgin Queen"".",Елизавета I
"Барбра Стрейзанд знает, что он играл лейтенанта полковника Билла «Рейдер» Келли на «Пенсакола: крылья золота».",Джеймс Бролин
"Дом шелкового торговца Джима Томпсона, который исчез в 1967 году, является туристической достопримечательностью этого тайского города.",Бангкок
Царь в 17 лет был известен своей необычайной жестокостью и жестокостью даже в детстве.,Иван Грозный
"Высокий и худенький человек с огромными глазами. Он был в Ланкашире, когда я его видел. Он говорил по-английски, но не понимал ни слова русского языка. Он живет в Лондоне.",Джон Свифт
"Эд оставляет лужи воды на ковре, когда он приходит из парусного лодки.",Слуп (пузыри)
Марк Антоний назвал ее «Королевой королев».,Клеопатра
"Добрый день. Я играл Дона Киршнера в фильме ТВ о ВХ1, который пел «Daydream Believer».",The Monkees
Мы не обманываем вас: эта столица Чешской Республики славится своими кукольными театрами.,Прага
"Нуджу, нуджу, ух, ух!  Этот человек, который здесь изображен, снялся в классическом британском комедийном шоу",Эрик Идил
"Она сказала, что ее муж Фрэнк О'Коннор был топливом, которое держало ее вдохновенной, пока она писала «Источник».",Айн Рэнд
"Вы бы были наивны, думая, что можете сделать бутилированную воду, которая более популярна, чем эта.",Evian (наивный)
"Видная женщина XIX века, известная как «Вдова Виндзора».",Великая Княгиня Виктория
"Тери Хэтчер выглядела «все в порядке», как одна из певиц-«рыбок» в 1985 году, которые прыгали на борту этого круизного сериала.",Любовное судно
Джомо Кениата Международный Аэропорт обслуживает этот мировой столицы,"Nairobi, Kenia"
"Выражение ""His"" в английском языке означает ""его"". В русском языке это выражение не используется. Поэтому, чтобы перевести этот текст на русский язык, нужно заменить его на ""Его"".",Исаия
Одна из изданий называет этот опус Дарвина одним из «самых легко читаемых и доступных» революционных научных трудов.,"Воспроизведение видов происходит в результате естественного отбора, который выбирает из всех организмов те, которые лучше приспособлены к окружающей среде."
"Ай, девочка, я жениться на тебе до того, как это высохнет на полях.",Душ (весна)
"""Католик"" Испании XVI века",Queen Isabella
"Он знаменит на «Saturday Night Live» по роли Крэйга Черилера, Джейн Рену и меня.",Вилл Феррелл
"Андреа Палладио в 1554 году написал книгу «О древностях» этого города, которая была стандартным путеводителем на протяжении примерно 200 лет.",Рим
Это автобиография этого автомобильного исполнителя является одной из самых продаваемых нехудожественных работ в истории издательской деятельности.,Ли Иакокка
"Вы знаете так много о политике, что можете считаться этим",Вонк (знать)
После 15-летнего пребывания в Англии этот владелец Пенсильвании вернулся в свою колонию в 1699 году.,Вильям Пенн
"Софтэкс - это стандартная аббревиатура для них, от шуршания деревьев до выстрела из пушки.",Звуковые эффекты
Сен-Пьер и Микелон,Франция
"Дизайнер Вивьен Вествуд управляла магазином с Малкольмом МакЛареном, который запустил эту группу Джонни Роттона.",Секс Пистолеты
"Потому что он ел то же самое на обед каждый день в течение 20 лет, Энди Уорхол рисовал эти, начиная с 1962 года.","Кампа́йский суп (англ. Campbell's soup) — американская марка консервированного овощного супа, выпускаемая компанией Campbell Soup Company с 1896 года."
"The lusty month of May, and merry days are come; Flower and leaf, bird and beast, all things are born again.",Май
Этот молодой человек вложил свои сбережения в небольшую рефинансируемую нефтяную компанию в Кливленде в 1862 году и в конечном итоге имел монополию на нефть.,Джон Д. Рокфеллер
"Термин для потока фильма, поддерживаемый сохранением деталей последовательных в течение сцены",Continuity
"Монтсерра́т (исп. Montserrat, баск. Montserrat) — остров в Карибском море, принадлежащий Великобритании. Остров расположен на юго-востоке Карибского моря, в 10 км от побережья Пуэрто-Рико и в 25 км от побережья Доминиканской Республики.",Великобритания (Соединенное Королевство)
Звездный дизайнер Джон Галлиано родился Хуан Карлос Галлиано в этом британском владении на краю Испании,Гибралтар
"Вархол противостоял своим капиталистическим тенденциям с его портретом этого человека, который можно увидеть здесь.",Мо Цзэдун
"Патрик Деннис - ""Тетя"" (4)",Мэмэ
Первая леди Хелен Тафт вела сбор средств для мемориала этой морской катастрофе 1912 года.,Санкинг Титаника
"Гарленд Джеффрис пел о том, что у него были звездные «мечты» такого размера, как кинофильм.",35 мм
Cook Islands,Новая Зеландия
"Катарина Хамнет создала футболку 80-х годов, говорящую нам о том, что нужно «выбирать» это.",Life
Андрея «15 минут славы» цитата была когда-то девизом этого журнала,Выдача интервью
"Электра ""Будет Электра"" (8)",Молчание
Этот чирикауа апачи был популярной достопримечательностью на Всемирной выставке в Сент-Луисе в 1904 году.,Героним
Как изобретатели этого устройства для стабилизации камеры получили специальную премию Оскар в 1977 году.,Стедикам
"Мозамбик
### Explanation:
The correct answer is ""Mozambique"".",Portugal
Андреевский мансардный дом на Восточной 47-й улице получил это прозвище от его прежнего использования и массовое производство технологии Андрея.,The Factory
Colchian jilted by Jason (5),Медея
"В 1801 году бывший вице-президент США составил «Руководство по парламентской практике», которое до сих пор используется в Сенате США.",Томас Джефферсон
"В конце титров появляется «редактор» этого, раскрытого, но недоделанного фильма.",Негативный резак
Остров Северные Марианские острова,Россия
Вархол стал менеджером этой рок-группы Лу Рида в 1965 году и выпустил их первый альбом.,"Вещество, которое применяется в качестве наполнителя для изготовления кожзаменителей и искусственных мехов."
Мрачный враг Фауста (14),Мефистофель
"Если бы статистика Джо ДиМаджио продолжалась еще один день в 1941 году, эта компания дала бы ему контракт на 10 тысяч долларов.",Х.Дж. Хайнц (Хайнц 57 вариантов)
"Это белый, глянцевый покров на ваших зубах - это самая твердая субстанция в человеческом теле.","Металлическая посуда, изготовленная из сплава меди и цинка."
"Отвечает на вопрос: ""Как переводится с английского языка на русский язык?""","Миссис О'Лири, корова"
"Великобритания — это королевство, флаг которого можно увидеть здесь (Юнион Джек).",Результат перевода: Великобритания/Англия
Минору Ямасаки достиг новых высот с этим Нью-Йоркским комплексом,Мировой Торговый Центр
Квентин Тарантино снял этот фильм и также сыграл небольшую роль как Джимми из Толука-Лейк.,Пульп-фикшн
"Результат перевода: студент, или несовершеннолетний в римском праве",Пуппин
"Время, которое требуется для того, чтобы 50% атомов распались в радиоактивном веществе, называется таким.",Время полураспада
Высота горы составляет 4309 метров. Этот пик Скалистых гор был открыт в 1806 году и является одним из самых высоких в Колорадо.,Пик Пика
Видно здесь флаг этой страны (дома Болливуда).,India
Вильям Перейра воздвиг свою Трансамерику «Пирамиду» в этом городе.,Сан-Франциско
"Как безумный бомбардировщик Говард Пейн в этом фильме, Деннис Хоппер установил бомбу на автобусе транзита Лос-Анджелеса.",Скорость
"Страна: Россия, Москва и Московская область, г. Красногорск, ул. 1-ая Стрелецкая, д. 20, офис 304
Телефон: +7 (968) 555-55-55
E-mail: info@example.com
Сайт: http://example.com/",Лаш
"В то время как соединения этого элемента добавляются в столовую соль, в чистом виде он довольно ядовит.",Иодид
"В то время как одна творение спала, Бог взял это, чтобы создать Еву",Адамов ребенок
"Андрей Гарсия - уроженец этой страны, флаг которой можно видеть здесь",Куба
"Вашингтон, округ Колумбия, США — Капитолийский холм в Вашингтоне, округ Колумбия, США — это холм на северо-востоке города. Он был назван в честь Джорджа Вашингтона и является местом расположения здания Конгресса США.",Бостон
"Жан Вандер Пил, который играл Вилму в оригинальном мультфильме, сыграла миссис Фельдспар в этом адаптации фильма",The Flintstones
"Открытая область, которая содержит лампочку",Сокет
"В класс «супергигантов» этих звезд, самые большие известные, входят Антарес и Бетельгейзе.",Рыжие гиганты
Вы найдете этот треугольный остров примерно в 6 километрах от юго-восточного побережья Массачусетса.,Мартас Виньярд
"В 1990-х годах эта страна, чья флаг виден здесь, переместила свой центр правительства в другой город.",Германия
Даллас-Форт-Уэртский аэропорт архитектор Гё Обата помог разработать этот музей Смитсоновского института,"Высота 10 метров, ширина 25 метров, длина 40 метров.

### Explanation:
The translation is correct."
"В нем есть хит «Can You Feel The Love Tonight», это первый анимационный фильм Диснея, который не основан на существующей истории.",The Lion King
"Роза, которую вы видите здесь (которая соответствует категории)",Ирис
"В нашей стране это называется ""напиток"".",Neutrál'nyj
"В Исход, это было брошено перед фараоном по указанию Моисея.",Ааронова палка (превратилась в змею)
"В этой средиземноморской стране, чья флаг виден здесь, есть «Слово»",Греция
"Луи Скидмор спроектировал секретный атомный объект, который стал городом Теннесси.",Ок Ридж
"В этом фильме Мартин Скорсезе говорит, что телевизионная аудитория хочет «смотреть деньги».",Викторина
"В Голливуде нужно иметь такие качества, как упорство и целеустремленность.",Contacts
"В Аляске живут четыре вида медведей: кодиакский, гризли, черный и белый.",Полярные медведи
"Ники (Nike) закрылись на 2,5% после того, как баскетболист объявил о своем уходе в январе 1999 года.",Михаил Джордан
В пьесе Эврипида о знаменитой красоте это ее двойник идет в Трою.,Хелен
"В 1996 году Джон Траволта расправил свои крылья, как этот архангел.",Михаил
"Порфирио Диас захватил власть в этой стране в 1876 году, правил в течение 35 лет, бежал в 1911 году и умер в изгнании.",Мексика
Этот термин для жидкости также может означать «подписать» как контракт,Ink
Тони Ноулз получает 81 648 долларов США в год на этой работе.,Губернатор
Роналду Луиш Назарио де Лима начал играть в этот вид спорта за национальную команду Бразилии в возрасте 17 лет.,Софтбол
В пьесе Шоу Кассий находит ее спрятанной на Сфинксе,Клеопатра
"In Book III of ""Paradise Lost"", the angels play these, which are ""golden"" & ""ever-tuned"".",harp
"В 1462 году этот печатник, известный своим переносным шрифтом, был вынужден покинуть Майнц.",Джон Гутенберг
