Question,Answer
"No. 5: Единственный центровой, который лидирует в НБА по ассистам; стипендия для обучения в Университете Канзаса; марафонец; волейболист","Вы - полезный помощник, который переводит текст с английского на русский."
"Брёстры Киршнеры, Дон и Билл, назвали эту лыжную компанию в честь себя и второй по высоте горы.",Here is a translation in Russian:К2
Here is a translation in Russian:Герой войны за независимость: «Его дух сейчас в Вермонте».,Here is a translation in Russian:Итан Аллен
Один слой бумаги или старательное выполнение работы.,"Ты полезный помощник, который переводит текст с английского на русский."
"Translation provided:
За пределами эллиптической изоляции, за пределами эллиптического предательства... вы не поверите в концовку, когда он ""вылупит яйцо""",Here is a translation in Russian:Хортон
"Ты - полезный помощник, который переводит текст с английского на русский.",Никсон.
"Это может быть место, где вы оставляете свою собаку на время поездки или переноска для неё, которая помещается под кресло в самолёте.","Translation provided:
помощник, который переводит текст с английского на русский."
"Он считается автором Пятикнижия, в что трудно поверить, поскольку Второзаконие продолжается после его смерти.","Here is a translation in Russian:
Ты - полезный помощник, который переводит текст с английского на русский."
"Стивен Тайлер из этой группы подарил свой мощный вокал для песни ""Train Kept A-Rollin’"", впервые популяризированной группой Yardbirds","Here is a translation in Russian:
Вы - полезный помощник, который переводит текст с английского на русский."
"Около 10ль года н.э. Тацит написал книгу о том, как упал уровень искусства убедительной речи после Цицерона",Here is a translation in Russian: ораторство
"Here is a translation in Russian:
Один из двух родившихся в Вермонте.","Вы - полезный помощник, который переводит текст с английского на русский."
"Когда в конце 1970-х годов это началось на Pan Am и Qantas, это была в основном огороженная часть экономического класса с бесплатным напитком.","Вы - полезный помощник, который переводит текст с английского на русский."
"Here is a translation in Russian: Али, женившийся на дочери этого мужчины Фатиме, шииты считают его истинным преемником.","Here is a translation in Russian:
Вы - полезный помощник, который переводит текст с английского на русский."
"Translation provided:
Во время сессий Sun в 1954–1955 годах Элвис поднялся на борт этого поезда, который был длиннее шестнадцати вагонов.","Translation provided:
помощник, который переводит текст с английского на русский."
"Sкорость, которую можно увидеть в <a href=""http://www.j-archive.com/media/2льют-31_DJ_12.jpg"" target=""_blank"">на этом стакане</a> или в причудливом коктейле из сахара и горьких трав",Here is a translation in Russian: старомодный
"Translation provided:
Извлечённый из сегодняшних заголовков, он был королём черепах, который <a href=""http://www.j-archive.com/media/2льш_2004-12-31_DJ_26.mp3"">пошёл <a href=""http://www.j-archive.com/media/2004-12-31_DJ_26.mp3"">на убой</a></a href=""http://www.j-archive.com/media/2004-12-31_DJ_26.mp3""><a href=""http://www.j-archive.com/media/2004-12-31_DJ_26.mp3"">король черепах</a></a href=""http://www.j-archive.com/media/2004-12-31_DJ_26.mp3""><a href=""http://www.j-archive.com/media/2004-12-31_DJ_26.mp3"">король черепах</a></a href=""http://www.j-archive.com/media/2004-12-31_DJ_26.mp3""><a href=""http://www.j-archive.com/media/2004-12-31_DJ_26.mp3"">король черепах</a></a href=""http://www.j-archive.com/media/2004-12-31_DJ_26.mp3""><a href=""http://www.j-archive.com/media/2004-12-31_DJ_26.mp3"">король черепах</a></a href=""http://www.j-archive.com/media/2004-12-31_DJ_26.mp3""><a href=""http://www.j-archive.com/media/2004-12-31_DJ_26.mp3"">король черепах</a></a href=""http://www.j-archive.com/media/2004-12-31_DJ_26.mp3""><a href=""http://www.j-archive.com/media/2004-12-31_DJ_26.mp3"">король черепах</a></a href=""http://www.j-archive.com/media/2004-12-31_DJ_26.mp3""><a href=""http://www.j-archive.com/media/2004-12-31_DJ_26.mp3"">король черепах</a></a href=""http://www.j-archive.com/media/2004-12-31_DJ_26.mp3""><a href=""http://www.j-archive.com/media/2004-12-31_DJ_26.mp3"">король черепах</a></a href=""http://www.j-archive.com/media/2004-12-31_DJ_26.mp3""><a href=""http://www.j-archive.com/media/2004-12-31_DJ_26.mp3"">король черепах</a></a href=""http://www.j-archive.com/media/2004-12-31_DJ_26.mp3""><a href=""http://www.j-archive.com/media/2004-12-31_DJ_26.mp3"">король черепов</a>",Here is a translation in Russian:Яртл.
"В 2003 году эта авиакомпания согласилась купить KLM, создав крупнейшую в Европе авиакомпанию.",Here is a translation in Russian:Air Франс.
"Филадельфия начала свое существование как колония для этой религиозной группы, членом которой был Уильям Пенн",Here is a translation in Russian:Квакеры
"Translation provided:
Этот хит Modern Girl впервые попал в десятку лучших на Billboard с песней Morning Train (Nine To Five)","Here is a translation in Russian:
(Шина) Истон"
"Этот жесткий шелковый материал предпочитают использовать для свадебных платьев, как это было в случае с платьем Кристины Эплгейт в 2001 году.","Вы - полезный помощник, который переводит текст с английского на русский."
"Translation provided:
Где-то между правдой и вымыслом лежит реальность Марко... в Хэллоуин вы не поверите, что видели это на этом святом.","Вы - полезный помощник, который переводит текст с английского на русский."
"В 2004 году авиакомпания Юнайтед запустила новую услугу, которая предусматривает низкие тарифы и больше мест на самолете.","Ты полезный помощник, который переводит текст с английского на русский."
"Translation provided:
С вступлением на престол Мэри I в 1553 году он бежал в Женеву, а вернулся в 1559 году и реформировал Шотландскую церковь.","Here is a translation in Russian:
(Джон) Нокс"
"Translation provided:
Трек группы ""Поезд в никуда"" был скрытым треком на их оригинальном альбоме 1979 года ""London Calling"".","Translation provided:
The Clash"
"Средний уровень. Сноубординг иногда обозначается этими двумя буквами, теми же самыми, которые используются для обозначения числа 90 в римских цифрах","Вы - полезный помощник, который переводит текст с английского на русский."
"Translation provided:
<a href=""http://www.j-archive.com/media/2ль_24.mp3"">""500 шляп""... 500 способов умереть.  Этот молодой мальчик бросит вызов королю... и станет легендой</a>",Батломеу Каббинусу.
"Translation provided:
В кармашке кресла вы найдете каталог под названием «Небо» это с такими обязательными вещами как патио-зонтик на солнечных батареях","Вы - полезный помощник, который переводит текст с английского на русский."
В 1534 году он и его друг Франциск Ксавьер основали Общество Иисуса,"Here is a translation in Russian:
(Сент-Игнатий) Лойола"
"Here is a translation in Russian: В 1961 году Джеймс Браун объявил, что на этот поезд можно садиться всем.",Ночной поезд
"Этот скандал 1797 года начался, когда три французских агента потребовали от американских дипломатов огромного выкупа",Here is a translation in Russian:XYZ-афера
"Объекты, которые проходят ближе к Солнцу, чем Меркурий, были названы в честь этой мифологической фигуры.",Here is a translation in Russian:Икар.
Это самое большое королевство в Соединенном Королевстве,"Here is a translation in Russian:
Вы - полезный помощник, который переводит текст с английского на русский."
"Translation provided:
""Party in the USA"" - песня этой певицы, которая также играет молодую леди по имени Ханна",Мейли Сайрус
"Если эта часть персика пушистая или мягкая, фрукт называется персиком; если гладкая - нектарином.",Here is a translation in Russian:кожа
"Here is a translation in Russian:
4 х 12","Here is a translation in Russian:
48"
"Translation provided:
Этот глагол для отскока баскетбола звучит, как будто вы слюнёк плещете.","Вы - полезный помощник, который переводит текст с английского на русский."
"Translation in Russian as listed:
Кровяной насос","Here is a translation in Russian:
Вы - полезный помощник, который переводит текст с английского на русский."
Тейт: Я Тейт Шэффер на борту <i>National Geographic Endeavour</i>.  Алекс: И...,"Ты - полезный помощник, который переводит текст с английского на русский."
"Translation provided:
Все остальные знают, что эти милые игрушки предшествуют в названии группы из топ-30 радио Дисней ""On Fire""; вы знаете это?",Here is a translation in Russian:Сказочные медведи.
Here is a translation in Russian:Персики более чем на 8ль% состоят из этого соединения.,"Here is a translation in Russian:
H2O"
"Here is a translation in Russian:
7 х 7 х 2","Here is a translation in Russian:
Вы - полезный помощник, который переводит текст с английского на русский."
"Звуковая навигация и дальномер — это полное название этого устройства, которое отражает радиоволны под водой.",Here is a translation in Russian: сонар.
"Маленькая тонкая ракета, брошенная в игру на доске.",Here is a translation in Russian:ардт.
Этот остров в южной части Тихого океана назван в честь дня его открытия — религиозного праздника,"Translation in Russian as listed:
Остров Пасхи"
"Here is a translation in Russian:
Песни на альбоме «Under My Skin»... глубже, чем песни на альбоме «Let Go», сказала эта канадка на сайте радио Дисней.",Here is a translation in Russian:Аврил Лавин.
"Here is a translation in Russian:
5-буквенное слово для твёрдой части внутри персика","Ты полезный помощник, который переводит текст с английского на русский."
"Here is a translation in Russian:
3 х 4 х 5 х 6","Вы - полезный помощник, который переводит текст с английского на русский."
"Here is a translation in Russian: В этой детской игре вы отбиваете маленький резиновый мяч, одновременно собирая металлические предметы с шестью зубцами.","Вы - полезный помощник, который переводит текст с английского на русский."
Это может быть разделительная линия на ваших волосах или роль в пьесе,"Here is a translation in Russian:помощник, который переводит текст с английского на русский."
Here is a translation in Russian: В этой африканской стране есть части арабской и ливийской пустыни.,"Here is a translation in Russian:
Вы - полезный помощник, который переводит текст с английского на русский."
"Here is a translation in Russian:
Я никогда тебе не рассказывал.","Вы - полезный помощник, который переводит текст с английского на русский."
"Here is a translation in Russian: Эти части персикового дерева глянцево-зелёные, заострённые и похожие на копьё.","Вы - полезный помощник, который переводит текст с английского на русский."
"As per your request, the translation in Russian:
5 х 1ль х 15.","Here is a translation in Russian:
750"
Этот вид надувной конструкции или танца прославил Майкл Джексон,Here is a translation in Russian: лунный поход
Here is a translation in Russian: Графическое представление информации,"Translation provided:
график"
"Here is a translation in Russian: История семьи, которую вы написали для школы, может включать въезд в США через этот остров в Нью-Йоркском заливе",Here is a translation in Russian: Эллис-Айленд.
"Here is a translation in Russian: Ведущий певец Райан Теддер из этой группы имеет ""Все правильные движения"".","Один из помощников, который переводит текст с английского на русский."
"Эти части дерева персика растут в узлах на побегах, оставшихся от прошлогоднего роста; они обычно розовые.","Ты полезный помощник, который переводит текст с английского на русский."
"2 х 1,035","Here is a translation in Russian:
2070"
"Это устройство, чьё название происходит от итальянского слова «трамплин», было усовершенствовано в 1930-х годах.",Трамплин.
Here is a translation in Russian:Композитор Вольфганг,"Here is a translation in Russian:
Вы - полезный помощник, который переводит текст с английского на русский."
"99,95 % массы атома находится в этой части.",Here is a translation in Russian: ядро
"Translation provided:
Парк-Вид из Чула-Виста, Калифорния, победил Тайбэй 6:3 и выиграл Мировую серию этой организации в 2009 году.",Here is a translation in Russian:маленькая лига
"Here is a translation in Russian: Этот герой нескольких книг в одиннадцать лет обнаружил, что он волшебник.",Here is a translation in Russian:Гарри Поттер
"Скажите имя этого типа моллюска, который вы видите",Here is a translation in Russian: осьминог.
"A землетрясение магнитудой 7,0 в этой карибской стране 12 января 2010 года вызвало мировое излияние помощи","Here is a translation in Russian:
Вы - полезный помощник, который переводит текст с английского на русский."
"Это название, состоящее из четырех букв, относится к плиссированной юбке, которую носят мужчины в Шотландии.","Here is a translation in Russian:помощник, который переводит текст с английского на русский."
"Translation provided:
В этом процессе растения углекислый газ и вода объединяются с помощью света для создания кислорода и глюкозы.",Here is a translation in Russian:фотосинтез
Here is a translation in Russian: Идеальные волны пляжа Пиха в Новой Зеландии были местом проведения юношеского чемпионата мира 2010 года.,"Вы - полезный помощник, который переводит текст с английского на русский."
"Этот город, являющийся административным центром округа Кларк штата Невада, называют «столицей развлечений мира».","Translation provided:
Лас-Вегас."
"Скажите, что это <a href=""http://www.j-archive.com/media/2льют-07-06_DJ_27.jpg"" target=""_blank"">состояние</a> , которое было принято в Союз в 1859 году","Here is a translation in Russian:
Вы - полезный помощник, который переводит текст с английского на русский."
Here is a translation in Russian: Эта автомобильная компания была в новостях из-за широкомасштабного отзыва своих автомобилей Corolla и других моделей.,Here is a translation in Russian:Тойота
As прилагательное оно может означать надлежащий; как глагол - «оценивать работы».,"Вы - полезный помощник, который переводит текст с английского на русский."
"Translation provided:
Клин — это адаптация простой машины, называемой наклонной.","Вы - полезный помощник, который переводит текст с английского на русский."
С мощным прыжком в 5 футов и 1 дюйм Дэвид Мосли установил рекорд США среди спортсменов до 10 лет на этом состязании еще в 1977 году.,"Вы - полезный помощник, который переводит текст с английского на русский."
"Here is the requested translation in Russian:
Это собака породы, которую здесь можно увидеть, <a href=""http://www.j-archive.com/media/2ль_14.jpg"" target=""_blank"">это верный и защитный компаньон</a>",Here is a translation in Russian:немецкая овчарка
"Скажите имя этого <a href=""http://www.j-archive.com/media/2льют-07-06_DJ_28.jpg"" target=""_blank""><a href=""http://www.j-archive.com/media/2010-07-06_DJ_28.jpg"" target=""_blank""></a></a>ошибки; не беспокойтесь, он не дышит огнём",Here is a translation in Russian: стрекоза
"Here is a translation in Russian:
Джимми из команды улиток демонстрирует, закрывая рукой рот.",Here is a translation in Russian:Дракула.
Маис - это другое слово для этого.,"Вы - полезный помощник, который переводит текст с английского на русский."
"Translation provided:
Из шести благородных газов периодической таблицы он самый легкий.","Вы - полезный помощник, который переводит текст с английского на русский."
"Ashlyn Уайт, 11 лет, завоевала в 2009 году молодежный титул США по этому боевому искусству, в котором вы пытаетесь бросить своего противника","Вы - полезный помощник, который переводит текст с английского на русский."
"В 1751 году Пенская провинциальная ассамблея разместила заказ на этот символ свободы, который сейчас находится в Филадельфии.","Translation provided:
Вы - полезный помощник, который переводит текст с английского на русский."
Скажите название этих больших деревьев; в нём есть цвет,"Вы - полезный помощник, который переводит текст с английского на русский."
"Translation provided:
В результате неожиданного поворота в январе 2010 года республиканец занял место Теда Кеннеди в Сенате этого штата.",Массачусетс
"Это слово для кого-то, кто ходит, происходит от латинского слова «нога».","Вы - полезный помощник, который переводит текст с английского на русский."
"Translation provided:
Из этого горячего жидкого каменного материала, который находится под земной корой, образуются лава и магматические породы.","Translation provided:
магма"
"Этот вид спорта имеет чемпионат мира среди юниоров до 17 лет, который проводится каждые два года. Харис Сеферович играл за команду Швейцарии, победившей в 2009 году.","Вы - полезный помощник, который переводит текст с английского на русский."
Он старший сын принца Чарльза и покойной принцессы Дианы,"Translation provided:
Принц Уильям"
"Скажите имя этого человека, которого вы видите, пожимающего руку премьер-министру Китая","Ты - полезный помощник, который переводит текст с английского на русский."
"Фалкон Хине, который оказался в безопасности дома и не летал над Колорадо, стал известен как этот «мальчик».","Translation provided:
помощник, который переводит текст с английского на русский."
"Here is a translation in Russian:Каяк - пример этого, слово, которое читается одинаково в обоих направлениях.",Here is a translation in Russian: палиндром
"Она родилась в Вирджинии около 1596 года и умерла в Кенте, Англия, в 1617 году.",Here is a translation in Russian:Покахонтас
Премьер-министр Тони Блэр назвал её «Народной принцессой».,Here is a translation in Russian:Принцесса Диана
"Translation provided:
Когда Томми Маллини на шоу ""Закон Лос-Анджелеса"", Джон Спенсер теперь играет главу администрации Белого дома Лео МакГарри в этом сериале.","Translation provided:
Западный крыло"
"Here is a translation in Russian: Тур-квест ""Замок Золушки"" — одна из главных достопримечательностей Диснейленда этого азиатского города.",Here is a translation in Russian:Токио
"Here is a translation in Russian: Этот хитмейкер панк-рока, которого вы здесь слышите, имел множество хитов по обе стороны Атлантики.",Here is a translation in Russian:Билл Айдол.
"Конрад начинает (и заканчивает) путешествие Марлоу... на Темзе, на яхте Нелли, — говорится в предисловии к этому роману.",Here is a translation in Russian:Сердце тьмы
"Translation provided:
Мы будем выглядеть хорошо в этих автомобилях, которые вернулись в Лондон в 1999 году.",Трамвай (умный)
"Она была ""Необузданной телкой"" и ""Девственницей-королевой"".","Here is a translation in Russian:
Вы - полезный помощник, который переводит текст с английского на русский."
"Барбра Стрейзанд знает, что играла лейтенанта-полковника Билла Келли в фильме «Пенсакола: Крылья золота».",Here is a translation in Russian:Джеймс Бролин.
"Дом торговца шелком Джима Томсона, который исчез в 1967 году, является туристической достопримечательностью этого тайского города.","Вы - полезный помощник, который переводит текст с английского на русский."
As царь в 17 лет он был известен необыкновенным садизмом и жестокостью даже будучи мальчиком,Here is a translation in Russian:Иван Грозный
"Part 2 - это обратная сторона Лилипутии, но... также предлагает некоторые из его самых жестоких атак на поведение своих соотечественников","Here is a translation in Russian:
Вы - полезный помощник, который переводит текст с английского на русский."
"Here is a translation in Russian: Эд оставляет на ковре лужи воды, когда он возвращается с парусного плавания на этой лодке.",Sлоп (послы)
Марк Антоний назвал её «Королевой королев».,Клеопатра
"Here is a translation in Russian:
(Привет, я Уоллес Лэнгэм) Я играл Дона Киршнера в телевизионном фильме канала VH1 об этом квартете, который пел ""Daydream Believer"".",Here is a translation in Russian:Монахи.
Мы вас не тянем за язык: эта столица Чехии знаменита своими кукольными театрами.,"Вы - полезный помощник, который переводит текст с английского на русский."
"Translation provided:
Надавите, надавите, подмигните, подмигните! Этот человек здесь изображен в классическом британском комедийном шоу",Here is a translation in Russian:Эрик Идл.
"Она сказала, что её муж Фрэнк О'Коннор был тем топливом, которое поддерживало её дух во время работы над романом «Источник».",Here is a translation in Russian:Айн Рэнд
"Вы бы были наивны, если бы думали, что можете сделать воду в бутылках более популярной, чем это.",Here is a translation in Russian: Эвиа́н (наивный)
"Translation provided:
Вдова Виндзора девятнадцатого века.",Here is a translation in Russian:Королева Виктория
"Тере Хэтчер выглядела ""отлично"", будучи одной из певиц-русалок, которые в 1985 году присоединились к круизному сериалу.","Translation provided:
Любовный пароход"
Международный аэропорт Джомо Кениатта обслуживает эту мировую столицу,"Here is a translation in Russian: Найроби, Кения"
Here is a translation in Russian:Это первая и самая длинная книга главных пророков Библии.,Here is a translation in Russian:Исаия.
Одно издание называет этот труд Дарвина одним из «наиболее читаемых и доступных» революционных научных трудов.,"Translation provided:
Происхождение видов"
"Here is a translation in Russian: Да, леди, я выйду за тебя замуж до того, как это высохнет на полях.","Translation provided:
Дождь (ср.)"
"Here is a translation in Russian:
Католический в Испании XV века",Here is a translation in Russian:Королева Изабелла
"Translation provided:
В шоу ""Субботним вечером в прямом эфире"" он известен своей ролью Крэйга-надежду, Джанет Рено и меня.","Ты полезный помощник, который переводит текст с английского на русский."
"Translation provided:
Книга Андреа Палладио 1554 года о «Древностях этого города» была стандартным путеводителем в течение примерно 20льют","Translation provided:
Вы - полезный помощник, который переводит текст с английского на русский."
Here is a translation in Russian: Автобиография этого автопилота - одна из самых продаваемых работ в истории издательства.,Here is a translation in Russian:Ли Якокка
"Вы так много знаете о политике, что можете считаться специалистом в этой области.","Translation provided:
Вонк (знать)"
"Translation provided:
После 15-летнего пребывания в Англии этот владелец Пенсильвании вернулся к себе на родину в 1699 году.","Вы - полезный помощник, который переводит текст с английского на русский."
SFCX — стандартное сокращение для этих слов от шума деревьев до выстрела из пушки,Here is a translation in Russian:Звуковые эффекты
Here is a translation in Russian:Сен-Пьер и Микелон,"Вы - полезный помощник, который переводит текст с английского на русский."
"Дизайнер Вивьен Вествуд работала в магазине вместе с Малколмом Маклареном, который основал группу Джони Роттена.","Sure! Here is a Russian translation:
Секс-пистолеты"
"Translation provided:
Поскольку Энди Уорхол каждый день в течение 20 лет ел одно и то же на обед, он начал рисовать эти картины в 1962 году.","Translation provided:
Буты с супом Кэмпбелла"
"Translation provided:
Ларнер и Лоу (""Lusty Month"") (3)","Ты - полезный помощник, который переводит текст с английского на русский."
"Этот молодой человек вложил свои сбережения в небольшой кливлендский нефтеперерабатывающий завод в 1862 году и, в конечном итоге, получил нефтяную монополию",Here is a translation in Russian:Джон Д. Рокфеллер
"Translation provided:
Термин для потока фильма, поддерживаемого путем сохранения согласованности деталей на протяжении всей сцены","Вы - полезный помощник, который переводит текст с английского на русский."
"Вы - полезный помощник, который переводит текст с английского на русский.",Here is a translation in Russian: Великобритания (Соединенное Королевство).
Звездный дизайнер Джон Гальяно родился Хуан Карлос Гальяно в этом британском владении на оконечности Испании,"Вы - полезный помощник, который переводит текст с английского на русский."
"Вот как Уорхол пошел против своих капиталистических наклонностей, написав портрет этого человека, изображенного здесь.",Here is a translation in Russian:Мао Цзэдун
"Translation provided:
«Тетя» Патрика Денниса (4)","Here is a translation in Russian:Мам, помоги!"
"Translation provided:
Первая леди Элен Тафт провела сбор средств на мемориал этой морской катастрофы 1912 года.","Translation provided:
Потопление Титаника"
"Here is a translation in Russian: Гарленд Джеффрис пел о том, что у него были звездные «мечты» такого масштаба, как в кино.","Вы - полезный помощник, который переводит текст с английского на русский."
Here is a translation in Russian:Кук-Айленды.,Here is a translation in Russian:Новая Зеландия
"Катарин Хэмнетт создала футболку 1980-х, на которой было написано «выбери» это.","Here is a translation in Russian:Жизнь-помощник, который переводит текст с английского на русский."
"Translation provided:
Цитата Энди о 15 минутах славы когда-то была девизом этого журнала.","Translation provided:
Вы - полезный помощник, который переводит текст с английского на русский."
Here is a translation in Russian: Это становится Электрой (8),"Вы - полезный помощник, который переводит текст с английского на русский."
Этот чирикауа-апач был популярной достопримечательностью Всемирной выставки в Сент-Луисе в 1904 году.,Here is a translation in Russian:Джеронимо.
"Translation provided:
Изобретатели этого устройства для стабилизации изображения на камеру получили специальный Оскар в 1977 году.","Вы - полезный помощник, который переводит текст с английского на русский."
Here is a translation in Russian:Мадейра-Айлендс,"Here is a translation in Russian:
Вы - полезный помощник, который переводит текст с английского на русский."
Своим названием лофт Энди на Ист-47-й улице обязан своему прошлому использованию и методам массового производства Энди.,"Translation provided:
Вы - полезный помощник, который переводит текст с английского на русский."
Here is a translation in Russian: Колхиан бросил Джейсона (5),Here is a translation in Russian:Медея
"В 1801 году этот бывший вице-президент составил «Руководство по парламентской практике», которое до сих пор используется в Сенате США.",Томми Джефферсон
"Translation provided:
В конце титров появляется «резач» этого фильма — выставленный напоказ, но незаконченный фильм",Here is a translation in Russian: Негативный резак
Северные Марианские острова,Here is a translation in Russian:США.
В 1965 году Уорхол стал менеджером рок-группы Лу Рида и продюсировал их первый альбом.,"Вы - полезный помощник, который переводит текст с английского на русский."
"Translation provided:
Дьявольский враг Фауста (14)",Here is a translation in Russian:Мефистофель.
"Если бы серия удач Джо ДиМаджио продолжилась на одну игру в 1941 году, эта компания дала бы ему контракт на сумму 10 тысяч долларов.",Here is a translation in Russian:Х. Дж. Хайнц (сорт Heinz 57)
Это белое глянцевое покрытие на ваших зубах является самым прочным веществом в человеческом теле,"Вы - полезный помощник, который переводит текст с английского на русский."
Here is a translation in Russian: Этот бык понес наказание за катастрофический пожар от 8 октября 1ль871 года.,Here is a translation in Russian: корова миссис О'Лири.
"Translation provided:
Это королевство, флаг которого здесь виден (Юнион Джек).",Here is a translation in Russian: Великобритания/Англия
Минору Ямасаки достиг новых высот с этим комплексом в Нью-Йорке,"Вы - полезный помощник, который переводит текст с английского на русский."
Квентин Тарантино выступил режиссером этого фильма и также сыграл небольшую роль Джимми из Толука-Лейк.,"Translation provided:
Помощник, который переводит текст с английского на русский."
Here is a translation in Russian: Студент или несовершеннолетний в римском праве,"Вы - полезный помощник, который переводит текст с английского на русский."
"Translation provided:
Время, необходимое для распада 50 % атомов в радиоактивном веществе, называется этим.","Translation provided:
Полураспад"
"Translation provided:
На высоте 14 140 футов эта вершина Скалистых гор, открытая в 1806 году, является одной из самых высоких в Колорадо.","Вы - полезный помощник, который переводит текст с английского на русский."
"Translation provided:
Смотрите, это флаг этой страны (родины Болливуда).","Here is a translation in Russian:
Вы - полезный помощник, который переводит текст с английского на русский."
"Translation provided:
В этом городе Уильям Перейра построил свою «Пирамиду» Трансамерики.","Translation in Russian as listed:
Сан-Франциско"
В этом фильме Деннис Хоппер сыграл роль сумасшедшего бомбиста Говарда Пейна.,"Translation provided:
Вы - полезный помощник, который переводит текст с английского на русский."
Here is a translation in Russian: Удар кнутом.,"Ты - полезный помощник, который переводит текст с английского на русский."
"Here is a translation in Russian: Хотя соединения этого элемента добавляются в поваренную соль, в чистом виде он довольно ядовитый.","Вы - полезный помощник, который переводит текст с английского на русский."
"Translation provided:
Пока одно творение спало, Бог взял это, чтобы сделать Еву.","Translation provided:
Адамская ребро."
"Эта страна — родина Энди Гарсы, чьего флага здесь можно увидеть.",Here is a translation in Russian:Куба.
"Чарльз Балфинч, который участвовал в строительстве Капитолия в Вашингтоне, разработал здание государственного собрания на Бикон-Хилл.",Here is a translation in Russian:Бостон.
"Жан Вандер Пил, сыгравшая Вилму в оригинальном мультсериале, в этой экранизации исполнила роль миссис Фельдспар.","Ты - полезный помощник, который переводит текст с английского на русский."
"Here is a translation in Russian: Полая область, в которой находится лампочка.","Вы - полезный помощник, который переводит текст с английского на русский."
"Translation provided:
Класс этих звезд ""супер"", крупнейший из известных, включает Антарес и Бетельгейзе.",Here is a translation in Russian:Красные гиганты
Вы найдете этот треугольный остров примерно в четырех милях от юго-восточного побережья штата Массачусетс.,Here is a translation in Russian:Мартас-Винейард.
"Translation provided:
В 1990-х годах эта страна, флаг которой здесь виден, перенесла свою столицу в другой город.","Ты - полезный помощник, который переводит текст с английского на русский."
Архитектор аэропорта Далласа и Форт-Уорта Гё Обата помог спроектировать этот музей Смитсоновского института,Here is a translation in Russian: Музей авиации и космонавтики
