Question,Answer
"Это может быть место для ухода за щенком, когда вы идете в путешествие, или его переноска, которая помещается под сиденье самолета.",kennel
"Его считают автором Пятикнижия, но это трудно поверить, ведь после его смерти продолжилось Второзаконие.",Моисей
"Стивен Тайлер из этой группы подарил нам свою горячую вокал в «Train Kept A-Rollin'», которую первоначально исполнили The Yardbirds.",АEROSMITH
"Примерно в 100 г. н.э. Тацит написал книгу о том, как искусство убеждения ухудшилось с тех пор, как Квир.",Ораторское искусство
"Один из двух, родившихся в Вермонте.",Кулидж (или Честер Артур)
"Когда в конце 1970-х годов такая услуга появилась у Pan Am и Qantas, то это была просто отдельная зона в экономическом классе с бесплатным алкоголем.",бизнес-класс
"Али, который женился на дочери этого человека Фатиме, считается истинным наследником Имама Махаммада согласно мнению шиитских мусульман.",Мухаммад.
Во время сессий в Sun в 1954–1955 годах Элвис залез на этот поезд из шестнадцати вагонов.,"""Загадочный поезд"""
"Корочевое стекло, видимое здесь <a href=""http://www.j-archive.com/media/2004-12-31_DJ_12.jpg"" target=""_blank"">здесь</a>, или мистический коктейль из сахара и горького",Старинный
"<a href=""http://www.j-archive.com/media/2004-12-31_DJ_26.mp3"">Он был королем черепахи, сошедшим с ума; а Мак – единственным хорошим черепаха, который мог его свергнуть</a>",Яртел
"В 2003 году авиакомпания согласилась купить KLM, объединив крупнейшие в Европе авиалинии.",Аэрофлот
"Филадельфия начинала свою жизнь как колония для этой религиозной группы, членом которой был Уильям Пенн.",Квакеры
Эта «современная девушка» впервые вошла в десятку лучших хит-парадов по версии Billboard с песней Morning Train (Nine To Five).,(Сина) Истёном
"Этот крепкий шелковый материал любят для свадебных платьев, как и платье Кристины Энджел в 2001 году.",Organza
"<a href=""http://www.j-archive.com/media/2004-12-31_DJ_25.mp3"">Где-то между правдой и вымыслом находится реальность Марко... в Хэллоуин, ты не поверишь что увидела это на этой улице</a>",Муравейник-улица
В 2004 году United Airlines запустили новый сервис с низкими ценами и большим количеством мест в самолетах.,Ted
"После избрания Марии I в 1553 году он бежал в Женеву, вернулся в 1559 году и реформировал Церковь Шотландии.",(Джон) Нокс
Песня группы «Поезд впустую» была скрытой дорожкой на оригинальном альбоме London Calling от 1979 года.,The Clash
"В кросс-кунькинге иногда используют эти два латинских символа, которые используются для обозначения числа 90 в римских цифрах.",XC
"<a href=""http://www.j-archive.com/media/2004-12-31_DJ_24.mp3"">""500 шляп""... 500 способов умереть. 4 июля этот мальчик будет ослушаться короля... и станет легендой</a>",Батоломею Кэббинс
"В кармане кресла вы найдете каталог под названием «Небо», в котором есть такие вещи как панорамный зонт на солнечных батареях.",Торговый центр
В 1534 году он и его приятель Франциск Ксавьер основали Общество Иисуса,(Святой Игнатий Лойола)
В 1961 году Джеймс Браун объявил: «Все на борт» для этого поезда.,«Ночь в поезде»
"Этот интрижка 1797 года начался, когда три французских агента потребовали огромный взятку от американских дипломатов",Дело XYZ
"Объекты, которые проходят ближе к солнцу, чем Меркурий, были названы в честь этой мифологической фигуры",Икар
Самое большое королевство в Соединенном Королевстве,Англия
"""Пэрти ин де Американ Уорлд"" – это певец, который также играет молодую леди по имени Ханна",Майли Сайрус
"Если на этой части груша покрыта пушистым налетом – это груша, а если она гладкая – это нектар",кожа
4 х 12,48
"Это глагол для мяча, который прыгает как баскетбольный мяч, звучит так, будто ты слюнявлен",Перевести следующий английский текст на русский: дриблинг
Помпа крови,сердце
"(<a href=""http://www.j-archive.com/media/2010-07-06_J_22.wmv"">Тейт: Я Тейт Шэффер, я на борту <i>Национального Географического Вестаря</i>. Алекс: И…</a>) Мы здесь, на Галапагосских островах, в нулевой широте, а это значит, что мы прямо над этой воображаемой линией, которая проходит вокруг Земли",экваторию
"Все знают, что эти милые игрушки появились раньше группы ""On Fire"" в списке топ-30 радио Disney; а вы знаете?",Уход за медведями-пеленальщиками
В персиках содержится более 80 % этого соединения,H2O
7 х 7 х 2,98
"Звуковая навигация и определение расстояния – это полное название этого устройства, которое отражает радиоволны под водой",Сонар
"Маленькая тонкая ракета, брошенная в доску во время игры",дарт
Этот остров в южной части Тихого океана назван в честь дня его открытия – религиозного праздника.,Остров Пасхи
"Песни с альбома Under My Skin… глубже, чем те, что были в Let Go"", – заявил он на сайте Radio Disney.",Аврора Лавин
5-буквенное слово для жесткой оболочки груше,Камень
3 х 4 х 5 х 6,360
"В этой детской игре вы будете отражать маленький резиновый мячик, одновременно собирая шестиконечные металлические предметы.",jackсы
Это может быть отделяющая линия в твоих волосах или роль в спектакле,Часть
Части аравийской и ливийской пустынь находятся в этой африканской стране,Египет
"Я никогда не говорил тебе. Этот аллегорично названный певец попал в топ-30 Диснея с песней ""Fallin' For You"". Подожди, я только что сделал это.",Колби Кайлат
"Эти части груши глянцево-зеленые, заостренные и имеют форму копья",Листья
5 х 10 х 15,750
"Это тип батутного дома или танец, который сделал знаменитым Майкл Джексон",лунабалка
Графическое представление информации,График
"Семейная история, которую ты написал для школы, может включать в себя въезд в США на этом острове в заливе Нью-Йорка.",Эллис Айленд
Ведущий вокал Райан Теддер из этой группы имеет «Все правильные движения»,Одна Республика
"Эти части дерева персика растут на узлах вдоль побегов предыдущего сезона роста, они обычно розовые.",Цветки
2 х 1 035,2 070
"Это устройство, название которого происходит от итальянского слова «подъемный косяк», было доработано в 1930-х годах.",Трамплинг
Композитор Вольфганг Амадей Моцарт,Моцарт
"99,95 % всей массы атома находится в этой части.",Ядро
Парк Вив из Чула Витса в Калифорнии победили Тайбэй со счетом 6:3 и выиграли Мировую Серию организации в 2009 году.,Маленькая лига
"Этот герой нескольких книг всего одиннадцать, когда он узнает, что является волшебником",Гарри Поттер
"Скажи, как называется <a href=""http://www.j-archive.com/media/2010-07-06_DJ_26.jpg"" target=""_blank"">эта</a> моллюск, которую ты видишь",Осьминог
"Землетрясение магнитудой 7,0 в этой стране Карибского бассейна 12 января 2010 года привлекло к себе внимание всего мира и вызвало поток помощи.",Гаити
"Это четырехбуквенное имя плиссированного шорта, который носят мужчины в Шотландии",Килт
Во время этого растительного процесса углекислый газ и вода соединяются с солнечной энергией для создания кислорода и глюкозы.,Фотосинтез
Идеальные волны на пляже Пиха в Новой Зеландии были местом проведения чемпионата мира по виндсерфингу среди юниоров в 2010 году.,Сёрфинг
"Этот город, расположенный в округе Кларк штата Невада, называют «музыкальной столицей мира».",Лас-Вегас
"Скажи, что это <a href=""http://www.j-archive.com/media/2010-07-06_DJ_27.jpg"" target=""_blank"">государство</a>, которое было принято в Союз в 1859 году",Орегон
Эта автокомпания была в новостях из-за массового отзыва своих Короллов и других моделей.,Toyota
В качестве прилагательного оно может означать «удовлетворительный»; в качестве глагола – «оценивать работы».,Исправьте следующий английский текст на русский язык.
Трещлок – это адаптация простейшей машины под названием наклонная.,самолет
"С мощным прыжком на высоте 1,52 м Дэвид Мосли установил рекорд США в 10 лет и младше именно в этом виде спорта еще в 1977 году.",высота прыжка
"<a href=""http://www.j-archive.com/media/2010-07-06_DJ_14.jpg"" target=""_blank"">Эта собака, которую вы видите здесь</a>, – верный и храбрый друг",Немецкий овчарок
"Скажи имя этого багера <a href=""http://www.j-archive.com/media/2010-07-06_DJ_28.jpg"" target=""_blank"">сюда</a>; не бойся, он не будет дымиться огнем",Моль
"(<a href=""http://www.j-archive.com/media/2010-07-06_DJ_21.wmv"">Jimmy из Clue Crew демонстрирует, затыкаясь запястье.</a>) Чтобы не заразить других вирусами и гриппом, мы узнали о том, что чихание по имени этого персонажа стало популярным в 1897 году.",Дракула
Ячмень – другое название для этого.,Яблоко
"Из шести благородных газов, представленных в периодической таблице, это самый легкий",гелий
"Ашлин Уайт, 11 лет, выиграла в 2009 году молодежный чемпионат США по этому боевому виду спорта, целью которого является сдача оппонента.","Японо-русский словарь терминов и выражений из области спорта, включая информацию о спортивных состязаниях в России и Японии."
"В 1751 году в Пеннском провинциальном собрании был принят указ о создании этого символа свободы, который сейчас находится во Филдельфии.",Звенящая колокольня Свободы
"Скажи, как называется это дерево: <a href=""http://www.j-archive.com/media/2010-07-06_DJ_29.jpg"" target=""_blank"">этот</a> большой дерево; в нем есть цвет",суккулентные деревья секвойи
В неожиданном повороте старую Сенатскую кресло Теда Кеннеди в этом штате занял республиканец на выборах в январе 2010 года.,Массачусетс
"Это слово для обозначения человека, который ходит, происходит от латинского слова «нога».",пешеход
"Лава и магматические породы образуются из этого горячего жидкого горного материала, найденного под землей.",Магма
В этом виде спорта каждые два года проводятся Чемпионаты мира до 17 лет. Харис Сеферович играл за чемпионскую Швейцарию в 2009 году.,Футбол
Это старший сын принца Чарльза и покойной принцессы Дианы,Принц Уильям
"Скажи имя <a href=""http://www.j-archive.com/media/2010-07-06_DJ_30.jpg"" target=""_blank"">этого человека, который тебе видится, обнимающегося с премьер-министром Китая</a>",Рональд Рейган
"ФаFalcon Хин, который оказался в безопасности дома и не летел над Колорадо, стал известен как этот «мальчик»",Мальчик- balon
"Каяк – пример этого слова, которое читается одинаково в любом направлении","Алиса, я знаю, что ты хочешь сказать, но это не палиндром."
"Она родилась в Вирджинии около 1596 года и умерла в Кент, Англия, в 1617 году.",Поcahontas
Премьер-министр Тони Блэр назвал ее «Принцессой народа».,Принцесса Диана
"Когда Томми Мэллей в сериале «Закон Лос-Анджелеса», Джон Спенсер теперь играет главу администрации Белого дома Лео Макгару в этой серии",Западный крыло
Загадка замка Золушки – это главная достопримечательность Диснейленда в этом азиатском городе.,Токио
"Этот панк-рок хитмейкер, о котором здесь можно услышать, имел многочисленные хиты по обеим сторонам Атлантики.",Билли Айдол
"Конрад начинает (и заканчивает) путешествие Марло... на Темзе в шлюпке Нелли, – говорится в предисловии к роману.",Сердце темной ночи
"Мы будем выглядеть круто в этих транспортных средствах, которые вернулись в Лондон в 1999 году",Трамваи (умные)
"Она была ""Неутомимой козлом"" и ""Девой королевой"".",Елизавета I
"Бара Брессендорф знает, что он играл лейтенанта полковника Билла ""Рейдер"" Келли в сериале ""Пенсакола: Крылья золота"".",Джеймс Бролин
"Дом торговца шелком Джима Томпсона, который исчез в 1967 году, является туристической достопримечательностью этого тайского города.",Бангкок
Царь в 17 лет был известен своим необычайным садизмом и жестокостью еще будучи мальчиком.,Иван Грозный
"Часть вторая «Лиллипут в обратном порядке, но… также содержит некоторые из его самых яростных нападок на поведение своих соотечественников»",Джонатан Свифт
"Эд оставляет пятна воды на ковре, когда приходит с яхты",Слоуп (Бассейны)
Марк Антоний называли её «Королевой королей»,Клеопатра
"(Привет, я Уоллес Лэнгем). Я сыграл Дона Киршнера в фильме о квартете, который исполнил песню Daydream Believer.",The Monkees
Мы не обманываем вас: столица Чехии славится своими кукольными театрами,Прага
"Нуждаешься, нуждаешься, подмигиваешь, подмигиваешь! Этот человек снимался в классическом британском комедийном сериале.",Эрик Айдл
"Она сказала, что ее муж Фрэнк О'Коннор был тем двигателем, который поддерживал ее бодрость во время написания «Источник».",Эйн Рэнд
"Не веришь, что можно сделать бутилированную воду, которая будет популярнее этой?",Эвьян (наив)
«Вдовствуая из Виндзора» девятнадцатого века,Королева Виктория
"Тэри Хэтчер выглядела аккуратной, как одна из певучих «рыб», которые присоединились к этой круизной серии в 1985 году.",Корабль любви
Международный аэропорт Джомо Кеньятта обслуживает этот мировой центр,"Найроби, Кения"
Его первая и самая длинная книга из книг пророков Библии.,Исаия
В одном издании эта работа Дарвина названа одним из самых читаемых и доступных научных трудов революционной эпохи.,Происхождение видов
"""Да, девушка моя, я жениться на тебе до того, как это засохнет в поле"".",Роса (вторник)
Католическая церковь Испании XV века,Королева Изабелла
"В сериале Saturday Night Live он известен за роль Крейга Чередара, Дженет Рено и меня.",Уилл Феррелл
"Книгу Андреа Палладио о старинных зданиях города, написанную в 1554 году, около 200 лет называли стандартным справочником.",Рим
Автобиография создателя этой автоисполняемой программы – одна из самых продаваемых нехудожественных работ в истории издательского дела.,Лайонел Иакока
"Ты столько знаешь о политике, что можешь претендовать на эту роль",Уонк (знай)
После пятнадцатилетнего пребывания в Англии владелец Пенсильвании вернулся в свою колонию в 1699 году.,Уильям Пенн
"SFX – это стандартная аббревиатура для всего этого, от трескания листьев до звука пушечного выстрела.",Звуковые эффекты
Сан-Пьер и Микелон,Франция
"Дизайнер Вивьен Вествуд управляла магазином вместе с Малкольмом Маклареном, который запустил группу Джонни Ротена.",Секс-Пистолеты
"Потому что 20 лет подряд он ел одно и то же на обед, и вот как Анди Уорхол изобразил это в 1962 году.",Банки с супом Кэмпбелла
Lerner и Loewe «Горячий месяц» (3),Может
"Этот молодой человек вложил свои сбережения в небольшойクリーブランドский перерабатывающий завод в 1862 году, и в итоге получил нефтяной монополию.",Джон Д. Рокфеллер
"Термин для описания хода фильма, поддерживаемый благодаря сохранению деталей в одной и той же последовательности на протяжении всей сцены",Непрерывность
Монсеррат,Великобритания (Соединенное Королевство)
Звездочный дизайнер Джон Галлиан родился Хуаном Карлосом Галлиано в этой британской территории на юге Испании.,Гибралтар
"Уорхол пошел против своих капиталистических наклонностей с портретом этого человека, которого вы видите здесь.",Мао Цзэ-дун
Патрик Деннис «Тётя» (4),Маме
Первая леди Хелен Тафт возглавила кампанию по сбору средств для мемориала в честь этого морского бедствия 1912 года.,Затопление Титаника
"Джеффрис Гарленд пел о своих звездных «снах» такого размера, как в кинофильме.",35 мм
Острова Кука,Новая Зеландия
"Кэтрин Хамнетт создала футболку 1980-х, где написано «выбирай»",Жизнь
Утверждение Энджи о 15 минут славы некогда было девизом этого журнала,Интервью
Становлюсь Электрой (8),Трога
Этот Чирикауа-апач был популярным увлекательным аттракционом на Всемирной выставке в Сент-Луисе в 1904 году,Геррономи
Изобретатели этого стабилизатора камеры получили специальную премию Оскара в 1977 году,Стайкем
Мадейрские острова,Португалия
"Апартаменты Энди на 47-й улице получили такое прозвище из-за того, что они использовались для массового производства.",Фабрика
"Кольхианец, брошенный Джейсоном (5)",Медея
"В 1801 году один из бывших вице-президентов составил «Руководство по парламентской практике», которое до сих пор используется в Сенате США.",Томас Джефферсон
"Почти в конце титров появляется «режиссер» этого фильма, который был снят, но до сих пор не закончен.",Негативный режущий инструмент
Северные Марианские острова,США
В 1965 году Уорхол стал менеджером рок-группы Лу Рида и выпустил их первый альбом.,Velvet Underground
Фаустовы коварные враги (14),Мephisto
"Если бы Джо ДиМаджио провел еще один матч в 1941 году, компания дала бы ему контракт на 10 тысяч долларов.",Х.Дж. Хейнц (Хайнц 57 Разнообразие)
Это белый глянцевый налет на зубах – самая твердая ткань человеческого тела,Эмаль
Эта коровы понесла всю вину за катастрофический пожар 8 октября 1871 года,Миссис О’Лири и ее корова
"Это королевство, чья флаг видна здесь (британский национальный флаг).",Великобритания/Англия
Минору Ямасаки достиг новых вершин с этим комплексом в Нью-Йорке,Всемирный торговый центр
Куэнтен Тарантино снял этот фильм и также сыграл небольшую роль Джимми из Толука Лейк,Пulp Fiction
Студент или несовершеннолетний по римскому праву,Ученик
"Время, необходимое для того, чтобы 50 % атомов радиоактивного вещества распались называется этим временем.",Половина жизни
"На высоте 4352 метра этот пик в Скалистых горах, открытый в 1806 году, является одним из самых высоких в Колорадо.",Пик Пайк.
На фото – флаг этой нации (родина Болливуда).,Индия
Уильям Перера построил свою «Пирамиду» Трансамерики в этом городе,Сан-Франциско
В фильме «Безумный бомбист» Хауард Пейн (Dennis Hopper) установил бомбу на одном из автобусов в Лос-Анджелесе.,Скорость
Удар плетью,Щетка
"Хотя соединения этого элемента добавляются в кухонную соль, чистый йод довольно ядовит.",Иодин
"Пока один из созданий спал, Бог использовал это для создания Евы.",Ребро Адама
"Энди Гарсия – уроженец этой страны, флаг которой виден здесь.",Куба
"Чарльз Бульфинч, который участвовал в строительстве Капитолия в Вашингтоне, округ Колумбия, спроектировал здание штата города на Бекон-Хилле.",Бостон
"Жан Вандер Пил, сыгравшая Вилму в оригинальной серии мультфильмов, здесь снялась как миссис Фельдспар.",Флинтстоунс
"Пустое пространство, в котором находится лампочка",Сокет
"В «супер» классе этих звезд, самых больших из известных, входят Антрас и Бетельгейзе.",Красные гиганты
Вы найдете этот треугольный остров в четырех милях от юго-восточного побережья штата Массачусетс.,Мартас-Винъярд
"В 1990-х годов эта страна, флаг которой виден здесь, перенесла столицу в другое место.",Германия
Архитектор аэропорта Даллас-Форт-Уэрт Гио Обата помог спроектировать этот музей Смитсоновского института.,Авиационно-космический музей
"В ней был хит «Can You Feel The Love Tonight», и это была первая в истории Диснея полнометражная анимационная лента, основанная не на существующей истории.",Король Лев
"Цветы, которые вы видите здесь (и попадают в эту категорию)",Ирис
На шкале рН значение pH = 7 указывает на такой тип раствора,Нейтральный
В Книге Исхода это было брошено перед фараоном по предписанию Моисея,Айронский посох (превращенный в змею)
"Эта средиземноморская страна, флаг которой вы видите здесь – это «Слово».",Греция
"Луи Скотмор спроектировал секретное атомное предприятие, которое стало городом в Теннесси",Оук Ридж
"В этом фильме Мартин Скорсезе говорит, что зрители хотят «наблюдать за деньгами»",Квест шоу
"Люди говорят, что именно для этого нужно в Голливуде",Контакты
"В Аляске обитает 4 разных вида медведей: коdiakский, гризли, черный и этот",Полярные медведи
"Акции Nike упали, когда в январе 1999 года этот баскетболист объявил о своём уходе на пенсию.",Майкл Джордан
В пьесе Эврипида о знаменитой красавке – это ее двойник отправляется в Трою,Хелен
В 1996 году Джон Траволта раскрыл свои крылья как архангел,Майкл
"Порфирио Диас захватил власть в этой стране в 1876 году, правил 35 лет, бежал в 1911 и умер в изгнании.",Мексика
Этот термин для жидкости также может означать «подписать» как договор,"Жидкокристаллический дисплей (LCD) – это устройство, на котором отображается информация в виде отдельных точек света или букв. На экране можно видеть текст и изображения. В отличие от жидкокристаллических телевизоров, где изображение формируется с помощью подсветки экрана, в ЖК-дисплее свет исходит от самих элементов экрана."
Тони Ноулз зарабатывает 81 648 долларов в год на этой работе,Губернатор
Роналду Луиш Насарио де Лима начал выступать за сборную Бразилии в возрасте 17 лет.,Футбол
"В пьесе Шона Цезарь находит её, спрятанную под Сфинксом",Клеопатра
"В третьей книге «Потерянного рая» ангелы играют на этих инструментах, которые называются «золотое» и «постоянно откалиброванное».",Гарпиньи
"В 1462 году этот печатник, известный своим подвижным типом, должен был покинуть Майнц",Йоханнес Гутенберг
